index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,", but I need more information. Can you provide me with the details of Mrs. Snyder's previous monthly income and the percentage of her income she used to spend on rent and utilities?,utilities?,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I will keep that in mind. I have a question about the answer you provided. In the question, it says ""1/2 times as many teaspoons of salt as the number of cups of flour."" Does this mean that the number of teaspoons of salt is half the number of cups of flour? If so, then the number of teaspoons of salt would be 16 / 2 = 8 teaspoons. Is that correct?

Yes, that's correct. The number of teaspoons of salt is half the number of cups of flour, so it would be 8 teaspoons.",8,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll keep that in mind. Now, let's break down the problem step by step.

First, we need to determine the ratio of tea to water that Artemis uses for her mom's cup of tea. We know that her mom drinks an 8-ounce cup of tea and uses one ounce of tea. So, the ratio is 1 ounce of tea to 8 ounces of water.

Next, we need to determine how much tea is needed for the party. We know that there are 12 people at the party and each of them wants a 6-ounce cup of tea. So, the total amount of tea needed is 12 people x 6 ounces of tea = 72 ounces of tea.

Finally, we need to determine how much water is needed for the party. We know that the ratio of tea to water is 1 ounce of tea to 8 ounces of water. So, for 72 ounces of tea, we need 72 ounces of tea x 8 ounces of water = 576 ounces of water.

Therefore, Artemis needs 72 ounces of tea and 576 ounces of water for the party.

Q: A man is trying to maximize the amount of money he saves each month. In particular, he is trying to decide between two different apartments. The first apartment costs $800 per month in rent and will cost an additional $260 per month in utilities. The second apartment costs $900 per month and will cost an additional $200 per month in utilities. The first apartment is slightly further from the man's work, and the man would have to drive 31 miles per day to get to work. The second apartment is closer, and the man would only have to drive 21 miles to get to work. According to the IRS, each mile a person drives has an average cost of 58 cents. If the man must drive to work 20 days each month, what is the difference between the total monthly costs of these two apartments after factoring in utility and driving-related costs (to the nearest whole dollar)?

A: The first apartment will cost 31 * 20 * .58 = $359 per month in driving costs. Thus, the total monthly cost of the first apartment, including utilities and driving costs, is $800 + $260 + $359 = $1419. The second apartment will cost 21 * 20 * .58 = $243.60 per month in driving costs. Thus, the total monthly cost of the second apartment, including utilities and driving costs, is $900 + $200 + $243.60 = $1343.60. Thus, the difference in total monthly costs between the two apartments is $1419 - $1343.60 = $75.40, which rounds down to $75. The answer is 75.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. Altogether, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 30 tourists sets out on a walking tour of the rainforest. Two tourists are eaten by anacondas, then half the remaining tourists try to pet poisonous dart frogs and get poisoned. If only 1/7 of the poisoned tourists recovered, how many tourists are left at the end of the tour?

A:
First, we need to determine how many tourists are left after the two tourists are eaten by anacondas. There are 30 - 2 = 28 tourists remaining.

Next, we need to find out how many tourists get poisoned by trying to pet the poisonous dart frogs. Half of the remaining tourists get poisoned, so 28 / 2 = 14 tourists get poisoned.

Now, we need to determine how many of the poisoned tourists recover. Only 1/7 of the poisoned tourists recover, so 14 * (1/7) = 2 tourists recover",576,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll keep that in mind. Now, let's break down the problem step by step.

First, we need to find out how many pieces of candy Anna gets. She gets 14 pieces of candy per house and there are 60 houses in the first subdivision. So, we multiply 14 by 60:

14 * 60 = 840

Anna gets 840 pieces of candy.

Next, we need to find out how many pieces of candy Billy gets. He gets 11 pieces of candy per house and there are 75 houses in the second subdivision. So, we multiply 11 by 75:

11 * 75 = 825

Billy gets 825 pieces of candy.

Now, we need to find out how many more pieces of candy Anna gets than Billy. We subtract the number of pieces of candy Billy gets from the number of pieces of candy Anna gets:

840 - 825 = 15

Anna gets 15 more pieces of candy than Billy.

So, the final answer is: Anna gets 15 more pieces of candy than Billy.",15,15,1.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll keep that in mind. Now, let's break down the problem step by step.

First, we need to find out how many bananas are in each pile. We know that 6 piles have 9 hands, with each hand having 14 bananas. So, the total number of bananas in these 6 piles is:

6 piles * 9 hands/pile * 14 bananas/hand = 756 bananas

Next, we need to find out how many bananas are in the remaining 4 piles. We know that these piles have 12 hands, with each hand having 9 bananas. So, the total number of bananas in these 4 piles is:

4 piles * 12 hands/pile * 9 bananas/hand = 432 bananas

Now, we need to find the total number of bananas collected by the family of monkeys. We can do this by adding the number of bananas in the 6 piles and the 4 piles:

756 bananas + 432 bananas = 1188 bananas

Finally, we need to divide the total number of bananas equally among the 12 monkeys. We can do this by dividing the total number of bananas by the number of monkeys:

1188 bananas / 12 monkeys = 99 bananas/monkey

So, each monkey would get 99 bananas if they divide the bananas equally amongst themselves.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks, I'll keep that in mind. Now, let's break down the problem step by step.

First, we need to find out how many bananas are in each pile. We know that 6 piles have 9 hands, with each hand having 14 bananas. So, the total number of bananas in these 6 piles is:

6 piles * 9 hands/pile * 14 bananas/hand = 756 bananas

Next, we need to find out how many bananas are in the remaining 4 piles. We know that these piles have 12 hands, with each hand having 9 bananas. So, the total number of bananas in these 4 piles is:

4 piles * 12 hands/pile * 9 bananas/hand = 432 bananas

Now, we need to find the total number of bananas collected by the family of monkeys. We can do this by adding the number of bananas in the 6 piles and the 4 piles:

756 bananas + 432 bananas = 1188 bananas

Finally, we need to divide the total number of bananas equally among the 12 monkeys. We can do this by dividing the total number of bananas by the number of monkeys:

1188 bananas / 12 monkeys = 99 bananas/monkey

So, each monkey would get 99 bananas if they divide the bananas equally amongst themselves.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks, I'll keep that in mind. Now, let's break down the problem step by step.

First, we need to find out how many bananas are in each pile. We know that 6 piles have 9 hands, with each hand having 14 bananas. So, the total number of bananas in these 6 piles is:

6 piles * 9 hands/pile * 14 bananas/hand = 756 bananas

Next, we need to find out how many bananas are in the remaining 4 piles. We know that these piles have 12 hands, with each hand having 9 bananas. So, the total number of bananas in these 4 piles is:

4 piles * 12 hands/pile * 9 bananas/hand = 432 bananas

Now, we need to find the total number of bananas collected by the family of monkeys. We can do this by adding the number of bananas in the 6 piles and the 4 piles:

756 bananas + 432 bananas = 1188 bananas

Finally, we need to divide the total number of bananas equally among the 12 monkeys. We can do this by dividing the total number of bananas by the number of monkeys:

1188 bananas / 12 monkeys",99,99,1.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll keep that in mind. Now, let's break down the problem step by step.

1. We know that Laurie collected 36 shells.
2. Ben collected a third of what Laurie did, so Ben collected 36 / 3 = 12 shells.
3. Alan collected four times as many shells as Ben did, so Alan collected 12 * 4 = 48 shells.

Therefore, Alan collected 48 shells.",48,48,1.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll keep that in mind. Now, let's break down the problem step by step.

1. First, we need to find the total volume of the aquarium. To do this, we multiply its length, width, and height: 4 ft x 6 ft x 3 ft = 72 cubic feet.

2. Next, we need to find out how much water is in the aquarium after Nancy fills it halfway. Since the aquarium is 72 cubic feet in total, filling it halfway means there is 72 / 2 = 36 cubic feet of water in the aquarium.

3. Then, the cat knocks the aquarium over and spills half the water. So, we need to find half of 36 cubic feet: 36 / 2 = 18 cubic feet of water remain in the aquarium.

4. Finally, Nancy comes back and triples the amount of water in the aquarium. To find the new amount of water, we multiply the remaining 18 cubic feet by 3: 18 x 3 = 54 cubic feet.

So, there are 54 cubic feet of water in the aquarium after all these events.",54,54,1.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," Hector!  Let's start with the number of gumballs that Hector gave to Alisha.  Hector gave 4 gumballs to Todd, and then he gave twice as many to Alisha, so he gave 4 * 2 = 8 gumballs to Alisha.  Next, Hector gave 5 less than four times as many to Bobby as he had given to Alisha, so he gave 4 * 8 - 5 = 27 gumballs to Bobby.  In total, Hector gave 4 + 8 + 27 = 39 gumballs to Todd, Alisha, and Bobby.  Since Hector had 6 gumballs remaining, he must have purchased 39 + 6 = 45 gumballs. The answer: 45.",45,45,1.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll make sure to keep that in mind. Now, let's break down the problem step by step.

First, we need to calculate the total cost of the tickets for the family. Since the children are both below 12 years old, they each get a $5 discount on their tickets. So, the cost of each child's ticket is $109 - $5 = $104.

Next, we add up the costs of the tickets for all four family members: $109 (for the parent) + $104 (for the 6-year-old child) + $104 (for the 10-year-old child) = $317.

Now, we subtract the total cost of the tickets from the amount the family gave the cashier: $500 - $317 = $183.

Therefore, the family will receive $183 in change.

I hope this helps! Let me know if you have any other questions or if there's anything else I can assist you with.",there',74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Beginning sentences are crucial as they set the tone for the entire answer.

Thanks,"," I'll keep that in mind. Let's break down the problem step by step.

1. The owner ordered ground beef in four-pound packages.
2. The first butcher delivered 10 packages, which means 10 * 4 = 40 pounds of ground beef.
3. The second butcher delivered 7 packages, which means 7 * 4 = 28 pounds of ground beef.
4. The total weight of ground beef delivered by the first and second butchers is 40 + 28 = 68 pounds.
5. The total weight of ground beef delivered by all three butchers is 100 pounds.
6. To find out how many packages the third butcher delivered, we need to subtract the weight of the ground beef delivered by the first and second butchers from the total weight: 100 - 68 = 32 pounds.
7. Since each package weighs 4 pounds, we can divide the remaining weight by 4 to find out how many packages the third butcher delivered: 32 / 4 = 8 packages.

So, the third butcher delivered 8 packages of ground beef.",8,8,1.0
