index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Each first word starts with a capitalized letter",. The second word starts with a lowercase letter. The third word starts with a capitalized letter. The fourth word starts with a lowercase letter. The fifth word starts with a capitalized letter. The sixth word starts with a lowercase letter. The seventh word starts with a capitalized letter. The eighth word starts with a lowercase letter. The ninth word starts with a capitalized letter. The tenth word starts with a lowercase letter. The eleventh word starts with a capitalized letter. The twelfth word starts with a lowercase letter. The thirteenth word starts with a capitalized letter. The fourteenth word starts with a lowercase letter. The fifteenth word starts with a capitalized letter. The sixteenth word starts with a lowercase letter. The seventeenth word starts with a capitalized letter. The eighteenth word starts with a lowercase letter. The nineteenth word starts with a capitalized letter. The twentieth word starts with a lowercase letter. The twenty-first word starts with a capitalized letter. The twenty-second word starts with a lowercase letter. The twenty-third word starts with a capitalized letter. The twenty-fourth word starts with a lowercase letter. The twenty-fifth word starts with a capitalized letter. The twenty-sixth word starts with a lowercase letter. The twenty-seventh word starts with a capitalized letter. The twenty-eighth word starts with a lowercase letter. The twenty-ninth word starts with a capitalized letter. The thirtieth word starts with a lowercase letter. The thirty-first word starts with a capitalized letter. The thirty-second word starts with a lowercase letter. The thirty-third word starts with a capitalized letter. The thirty-fourth word starts with a lowercase letter. The thirty-fifth word starts with a capitalized letter. The thirty-sixth word starts with a lowercase letter. The thirty-seventh word starts with a capitalized letter. The thirty-eighth word starts with a lowercase letter. The thirty-ninth word starts with a capitalized letter. The fortieth word starts with a lowercase letter. The forty-first word starts with a capitalized letter. The forty-second word starts with a lowercase letter. The forty-third word starts with a capitalized letter. The forty-fourth word starts with a lowercase letter. The forty-fifth word starts with a capitalized letter. The forty-sixth word starts with a lowercase letter. The forty-seventh word starts with a capitalized letter. The forty-eighth word starts with a lowercase letter. The forty-ninth word starts with a capitalized letter. The fiftieth word starts with a lowercase letter. The fifty-first word starts with a capitalized letter. The fifty-second word starts with a lowercase letter. The fifty-third word starts with a capitalized letter. The fifty-fourth word starts with a lowercase letter. The fifty-fifth word starts with a capitalized letter. The fifty-sixth word starts with a lowercase letter. The fifty-seventh word starts with a capitalized letter. The fifty-eighth word starts with a lowercase letter. The fifty-ninth word starts with a capitalized letter. The sixtieth word starts with a lowercase letter. The sixty-first word starts with a capitalized letter. The sixty-second word starts with a lowercase letter. The sixty-third word starts with a capitalized letter. The sixty-fourth word starts with a lowercase letter. The sixty-fifth word starts with a capitalized letter. The sixty-sixth word starts with a lowercase letter. The sixty-seventh word starts with a capitalized letter. The sixty-eighth word starts with a lowercase letter. The sixty-ninth word starts with a capitalized letter. The seventieth word starts with a lowercase letter. The seventy-first word starts with a capitalized letter. The seventy-second word starts with a lowercase letter. The seventy-third word starts with a capitalized letter. The seventy-fourth word starts with a lowercase letter. The seventy-fifth word starts with a capitalized letter. The seventy-sixth word starts with a lowercase letter. The seventy-seventh word starts with a capitalized letter. The seventy-eighth word starts with a lowercase letter. The seventy-ninth word starts with a capitalized letter. The eightieth word starts with a lowercase letter. The eighty-first word starts with a capitalized letter. The eighty-second word starts with a lowercase letter. The eighty-third word starts with a capitalized letter. The eighty-fourth word starts with a lowercase letter. The eighty-fifth word starts with a capitalized letter. The eighty-sixth word starts with a lowercase letter. The eighty-seventh word starts with a capitalized letter. The eighty-eighth word starts with a lowercase letter. The eighty-ninth word starts with a capitalized letter. The ninetieth word starts with a lowercase letter. The ninety-first word starts with a capitalized letter. The ninety-second word starts with a lowercase letter. The ninety-third word starts with a capitalized letter. The ninety-fourth word starts with a lowercase letter. The ninety-fifth word starts with a capitalized letter. The ninety-sixth word starts with a lowercase letter. The ninety-seventh word starts with a capitalized letter. The ninety-eighth word starts with a lowercase letter. The ninety-ninth word starts with,9,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Each first word starts with a capitalized letter",.,,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Each first word starts with a capitalized letter",. The second word starts with a lowercase letter.,.,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Each first word starts with a capitalized letter",. The second word starts with a lowercase letter. The third word starts with a capitalized letter. The fourth word starts with a lowercase letter. The fifth word starts with a capitalized letter. The sixth word starts with a lowercase letter. The seventh word starts with a capitalized letter. The eighth word starts with a lowercase letter. The ninth word starts with a capitalized letter. The tenth word starts with a lowercase letter. The eleventh word starts with a capitalized letter. The twelfth word starts with a lowercase letter. The thirteenth word starts with a capitalized letter. The fourteenth word starts with a lowercase letter. The fifteenth word starts with a capitalized letter. The sixteenth word starts with a lowercase letter. The seventeenth word starts with a capitalized letter. The eighteenth word starts with a lowercase letter. The nineteenth word starts with a capitalized letter. The twentieth word starts with a lowercase letter. The twenty-first word starts with a capitalized letter. The twenty-second word starts with a lowercase letter. The twenty-third word starts with a capitalized letter. The twenty-fourth word starts with a lowercase letter. The twenty-fifth word starts with a capitalized letter. The twenty-sixth word starts with a lowercase letter. The twenty-seventh word starts with a capitalized letter. The twenty-eighth word starts with a lowercase letter. The twenty-ninth word starts with a capitalized letter. The thirtieth word starts with a lowercase letter. The thirty-first word starts with a capitalized letter. The thirty-second word starts with a lowercase letter. The thirty-third word starts with a capitalized letter. The thirty-fourth word starts with a lowercase letter. The thirty-fifth word starts with a capitalized letter. The thirty-sixth word starts with a lowercase letter. The thirty-seventh word starts with a capitalized letter. The thirty-eighth word starts with a lowercase letter. The thirty-ninth word starts with a capitalized letter. The fortieth word starts with a lowercase letter. The forty-first word starts with a capitalized letter. The forty-second word starts with a lowercase letter. The forty-third word starts with a capitalized letter. The forty-fourth word starts with a lowercase letter. The forty-fifth word starts with a capitalized letter. The forty-sixth word starts with a lowercase letter. The forty-seventh word starts with a capitalized letter. The forty-eighth word starts with a lowercase letter. The forty-ninth word starts with a capitalized letter. The fiftieth word starts with a lowercase letter. The fifty-first word starts with a capitalized letter. The fifty-second word starts with a lowercase letter. The fifty-third word starts with a capitalized letter. The fifty-fourth word starts with a lowercase letter. The fifty-fifth word starts with a capitalized letter. The fifty-sixth word starts with a lowercase letter. The fifty-seventh word starts with a capitalized letter. The fifty-eighth word starts with a lowercase letter. The fifty-ninth word starts with a capitalized letter. The sixtieth word starts with a lowercase letter. The sixty-first word starts with a capitalized letter. The sixty-second word starts with a lowercase letter. The sixty-third word starts with a capitalized letter. The sixty-fourth word starts with a lowercase letter. The sixty-fifth word starts with a capitalized letter. The sixty-sixth word starts with a lowercase letter. The sixty-seventh word starts with a capitalized letter. The sixty-eighth word starts with a lowercase letter. The sixty-ninth word starts with a capitalized letter. The seventieth word starts with a lowercase letter. The seventy-first word starts with a capitalized letter. The seventy-second word starts with a lowercase letter. The seventy-third word starts with a capitalized letter. The seventy-fourth word starts with a lowercase letter. The seventy-fifth word starts with a capitalized letter. The seventy-sixth word starts with a lowercase letter. The seventy-seventh word starts with a capitalized letter. The seventy-eighth word starts with a lowercase letter. The seventy-ninth word starts with a capitalized letter. The eightieth word starts with a lowercase letter. The eighty-first word starts with a capitalized letter. The eighty-second word starts with a lowercase letter. The eighty-third word starts with a capitalized letter. The eighty-fourth word starts with a lowercase letter. The eighty-fifth word starts with a capitalized letter. The eighty-sixth word starts with a lowercase letter. The eighty-seventh word starts with a capitalized letter. The eighty-eighth word starts with a lowercase letter. The eighty-ninth word starts with a capitalized letter. The ninetieth word starts with a lowercase letter. The ninety-first word starts with a capitalized letter. The ninety-second word starts with a lowercase letter. The ninety-third word starts with a capitalized letter. The ninety-fourth word starts with a lowercase letter. The ninety-fifth word starts with a capitalized letter. The ninety-sixth word starts with a lowercase letter. The ninety-seventh word starts with a capitalized letter. The ninety-eighth word starts with a lowercase letter. The ninety-ninth word starts with,9,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Each first word starts with a capitalized letter",", and each second word starts with a lowercase letter. The first word is a noun, and the second word is a verb. The first word is a plural noun, and the second word is a singular verb. The first word is a singular noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word is a singular verb.

A: The first word is a noun, and the second word is a verb. The first word is a singular noun, and the second word is a singular verb. The first word is a plural noun, and the second word is a plural verb. The first word is a singular noun, and the second word is a plural verb. The first word is a plural noun, and the second word",verb.,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Each first word starts with a capitalized letter",. The second word starts with a lowercase letter. The third word starts with a capitalized letter. The fourth word starts with a lowercase letter. The fifth word starts with a capitalized letter. The sixth word starts with a lowercase letter. The seventh word starts with a capitalized letter. The eighth word starts with a lowercase letter. The ninth word starts with a capitalized letter. The tenth word starts with a lowercase letter. The eleventh word starts with a capitalized letter. The twelfth word starts with a lowercase letter. The thirteenth word starts with a capitalized letter. The fourteenth word starts with a lowercase letter. The fifteenth word starts with a capitalized letter. The sixteenth word starts with a lowercase letter. The seventeenth word starts with a capitalized letter. The eighteenth word starts with a lowercase letter. The nineteenth word starts with a capitalized letter. The twentieth word starts with a lowercase letter. The twenty-first word starts with a capitalized letter. The twenty-second word starts with a lowercase letter. The twenty-third word starts with a capitalized letter. The twenty-fourth word starts with a lowercase letter. The twenty-fifth word starts with a capitalized letter. The twenty-sixth word starts with a lowercase letter. The twenty-seventh word starts with a capitalized letter. The twenty-eighth word starts with a lowercase letter. The twenty-ninth word starts with a capitalized letter. The thirtieth word starts with a lowercase letter. The thirty-first word starts with a capitalized letter. The thirty-second word starts with a lowercase letter. The thirty-third word starts with a capitalized letter. The thirty-fourth word starts with a lowercase letter. The thirty-fifth word starts with a capitalized letter. The thirty-sixth word starts with a lowercase letter. The thirty-seventh word starts with a capitalized letter. The thirty-eighth word starts with a lowercase letter. The thirty-ninth word starts with a capitalized letter. The fortieth word starts with a lowercase letter. The forty-first word starts with a capitalized letter. The forty-second word starts with a lowercase letter. The forty-third word starts with a capitalized letter. The forty-fourth word starts with a lowercase letter. The forty-fifth word starts with a capitalized letter. The forty-sixth word starts with a lowercase letter. The forty-seventh word starts with a capitalized letter. The forty-eighth word starts with a lowercase letter. The forty-ninth word starts with a capitalized letter. The fiftieth word starts with a lowercase letter. The fifty-first word starts with a capitalized letter. The fifty-second word starts with a lowercase letter. The fifty-third word starts with a capitalized letter. The fifty-fourth word starts with a lowercase letter. The fifty-fifth word starts with a capitalized letter. The fifty-sixth word starts with a lowercase letter. The fifty-seventh word starts with a capitalized letter. The fifty-eighth word starts with a lowercase letter. The fifty-ninth word starts with a capitalized letter. The sixtieth word starts with a lowercase letter. The sixty-first word starts with a capitalized letter. The sixty-second word starts with a lowercase letter. The sixty-third word starts with a capitalized letter. The sixty-fourth word starts with a lowercase letter. The sixty-fifth word starts with a capitalized letter. The sixty-sixth word starts with a lowercase letter. The sixty-seventh word starts with a capitalized letter. The sixty-eighth word starts with a lowercase letter. The sixty-ninth word starts with a capitalized letter. The seventieth word starts with a lowercase letter. The seventy-first word starts with a capitalized letter. The seventy-second word starts with a lowercase letter. The seventy-third word starts with a capitalized letter. The seventy-fourth word starts with a lowercase letter. The seventy-fifth word starts with a capitalized letter. The seventy-sixth word starts with a lowercase letter. The seventy-seventh word starts with a capitalized letter. The seventy-eighth word starts with a lowercase letter. The seventy-ninth word starts with a capitalized letter. The eightieth word starts with a lowercase letter. The eighty-first word starts with a capitalized letter. The eighty-second word starts with a lowercase letter. The eighty-third word starts with a capitalized letter. The eighty-fourth word starts with a lowercase letter. The eighty-fifth word starts with a capitalized letter. The eighty-sixth word starts with a lowercase letter. The eighty-seventh word starts with a capitalized letter. The eighty-eighth word starts with a lowercase letter. The eighty-ninth word starts with a capitalized letter. The ninetieth word starts with a lowercase letter. The ninety-first word starts with a capitalized letter. The ninety-second word starts with a lowercase letter. The ninety-third word starts with a capitalized letter. The ninety-fourth word starts with a lowercase letter. The ninety-fifth word starts with a capitalized letter. The ninety-sixth word starts with a lowercase letter. The ninety-seventh word starts with a capitalized letter. The ninety-eighth word starts with a lowercase letter. The ninety-ninth word starts with,9,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Each first word starts with a capitalized letter",.,,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Each first word starts with a capitalized letter",.  The second word is a lowercase letter.  The third word is a capitalized letter.  The fourth word is a lowercase letter.  The fifth word is a capitalized letter.  The sixth word is a lowercase letter.  The seventh word is a capitalized letter.  The eighth word is a lowercase letter.  The ninth word is a capitalized letter.  The tenth word is a lowercase letter.  The eleventh word is a capitalized letter.  The twelfth word is a lowercase letter.  The thirteenth word is a capitalized letter.  The fourteenth word is a lowercase letter.  The fifteenth word is a capitalized letter.  The sixteenth word is a lowercase letter.  The seventeenth word is a capitalized letter.  The eighteenth word is a lowercase letter.  The nineteenth word is a capitalized letter.  The twentieth word is a lowercase letter.  The twenty-first word is a capitalized letter.  The twenty-second word is a lowercase letter.  The twenty-third word is a capitalized letter.  The twenty-fourth word is a lowercase letter.  The twenty-fifth word is a capitalized letter.  The twenty-sixth word is a lowercase letter.  The twenty-seventh word is a capitalized letter.  The twenty-eighth word is a lowercase letter.  The twenty-ninth word is a capitalized letter.  The thirtieth word is a lowercase letter.  The thirty-first word is a capitalized letter.  The thirty-second word is a lowercase letter.  The thirty-third word is a capitalized letter.  The thirty-fourth word is a lowercase letter.  The thirty-fifth word is a capitalized letter.  The thirty-sixth word is a lowercase letter.  The thirty-seventh word is a capitalized letter.  The thirty-eighth word is a lowercase letter.  The thirty-ninth word is a capitalized letter.  The fortieth word is a lowercase letter.  The forty-first word is a capitalized letter.  The forty-second word is a lowercase letter.  The forty-third word is a capitalized letter.  The forty-fourth word is a lowercase letter.  The forty-fifth word is a capitalized letter.  The forty-sixth word is a lowercase letter.  The forty-seventh word is a capitalized letter.  The forty-eighth word is a lowercase letter.  The forty-ninth word is a capitalized letter.  The fiftieth word is a lowercase letter.  The fifty-first word is a capitalized letter.  The fifty-second word is a lowercase letter.  The fifty-third word is a capitalized letter.  The fifty-fourth word is a lowercase letter.  The fifty-fifth word is a capitalized letter.  The fifty-sixth word is a lowercase letter.  The fifty-seventh word is a capitalized letter.  The fifty-eighth word is a lowercase letter.  The fifty-ninth word is a capitalized letter.  The sixtieth word is a lowercase letter.  The sixty-first word is a capitalized letter.  The sixty-second word is a lowercase letter.  The sixty-third word is a capitalized letter.  The sixty-fourth word is a lowercase letter.  The sixty-fifth word is a capitalized letter.  The sixty-sixth word is a lowercase letter.  The sixty-seventh word is a capitalized letter.  The sixty-eighth word is a lowercase letter.  The sixty-ninth word is a capitalized letter.  The seventieth word is a lowercase letter.  The seventy-first word is a capitalized letter.  The seventy-second word is a lowercase letter.  The seventy-third word is a capitalized letter.  The seventy-fourth word is a lowercase letter.  The seventy-fifth word is a capitalized letter.  The seventy-sixth word is a lowercase letter.  The seventy-seventh word is a capitalized letter.  The seventy-eighth word is a lowercase letter.  The seventy-ninth word is a capitalized letter.  The eightieth word is a lowercase letter.  The eighty-first word is a capitalized letter.  The eighty-second word is a lowercase letter.  The eighty-third word is a capitalized letter.  The eighty-fourth word is a lowercase letter.  The eighty-fifth word is a capitalized letter.  The eighty-sixth word is a lowercase letter.  The eighty-seventh word is a capitalized letter.  The eighty-eighth word is a lowercase letter.  The eighty-ninth word is a capitalized letter.  The ninetieth word is a lowercase letter.  The ninety-first word is a capitalized letter.  The ninety-second word is a lowercase letter.  The ninety-third word is a capitalized letter.  The ninety-fourth word is a lowercase letter.  The ninety-fifth word is a capitalized letter.  The ninety-sixth word is a lowercase letter.  The ninety-seventh word is a capitalized letter.  The ninety-eighth word is a lowercase letter.  The ninety-ninth word is,9,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Each first word starts with a capitalized letter",. The second word starts with a lowercase letter. The third word starts with a capitalized letter. The fourth word starts with a lowercase letter. The fifth word starts with a capitalized letter. The sixth word starts with a lowercase letter. The seventh word starts with a capitalized letter. The eighth word starts with a lowercase letter. The ninth word starts with a capitalized letter. The tenth word starts with a lowercase letter. The eleventh word starts with a capitalized letter. The twelfth word starts with a lowercase letter. The thirteenth word starts with a capitalized letter. The fourteenth word starts with a lowercase letter. The fifteenth word starts with a capitalized letter. The sixteenth word starts with a lowercase letter. The seventeenth word starts with a capitalized letter. The eighteenth word starts with a lowercase letter. The nineteenth word starts with a capitalized letter. The twentieth word starts with a lowercase letter. The twenty-first word starts with a capitalized letter. The twenty-second word starts with a lowercase letter. The twenty-third word starts with a capitalized letter. The twenty-fourth word starts with a lowercase letter. The twenty-fifth word starts with a capitalized letter. The twenty-sixth word starts with a lowercase letter. The twenty-seventh word starts with a capitalized letter. The twenty-eighth word starts with a lowercase letter. The twenty-ninth word starts with a capitalized letter. The thirtieth word starts with a lowercase letter. The thirty-first word starts with a capitalized letter. The thirty-second word starts with a lowercase letter. The thirty-third word starts with a capitalized letter. The thirty-fourth word starts with a lowercase letter. The thirty-fifth word starts with a capitalized letter. The thirty-sixth word starts with a lowercase letter. The thirty-seventh word starts with a capitalized letter. The thirty-eighth word starts with a lowercase letter. The thirty-ninth word starts with a capitalized letter. The fortieth word starts with a lowercase letter. The forty-first word starts with a capitalized letter. The forty-second word starts with a lowercase letter. The forty-third word starts with a capitalized letter. The forty-fourth word starts with a lowercase letter. The forty-fifth word starts with a capitalized letter. The forty-sixth word starts with a lowercase letter. The forty-seventh word starts with a capitalized letter. The forty-eighth word starts with a lowercase letter. The forty-ninth word starts with a capitalized letter. The fiftieth word starts with a lowercase letter. The fifty-first word starts with a capitalized letter. The fifty-second word starts with a lowercase letter. The fifty-third word starts with a capitalized letter. The fifty-fourth word starts with a lowercase letter. The fifty-fifth word starts with a capitalized letter. The fifty-sixth word starts with a lowercase letter. The fifty-seventh word starts with a capitalized letter. The fifty-eighth word starts with a lowercase letter. The fifty-ninth word starts with a capitalized letter. The sixtieth word starts with a lowercase letter. The sixty-first word starts with a capitalized letter. The sixty-second word starts with a lowercase letter. The sixty-third word starts with a capitalized letter. The sixty-fourth word starts with a lowercase letter. The sixty-fifth word starts with a capitalized letter. The sixty-sixth word starts with a lowercase letter. The sixty-seventh word starts with a capitalized letter. The sixty-eighth word starts with a lowercase letter. The sixty-ninth word starts with a capitalized letter. The seventieth word starts with a lowercase letter. The seventy-first word starts with a capitalized letter. The seventy-second word starts with a lowercase letter. The seventy-third word starts with a capitalized letter. The seventy-fourth word starts with a lowercase letter. The seventy-fifth word starts with a capitalized letter. The seventy-sixth word starts with a lowercase letter. The seventy-seventh word starts with a capitalized letter. The seventy-eighth word starts with a lowercase letter. The seventy-ninth word starts with a capitalized letter. The eightieth word starts with a lowercase letter. The eighty-first word starts with a capitalized letter. The eighty-second word starts with a lowercase letter. The eighty-third word starts with a capitalized letter. The eighty-fourth word starts with a lowercase letter. The eighty-fifth word starts with a capitalized letter. The eighty-sixth word starts with a lowercase letter. The eighty-seventh word starts with a capitalized letter. The eighty-eighth word starts with a lowercase letter. The eighty-ninth word starts with a capitalized letter. The ninetieth word starts with a lowercase letter. The ninety-first word starts with a capitalized letter. The ninety-second word starts with a lowercase letter. The ninety-third word starts with a capitalized letter. The ninety-fourth word starts with a lowercase letter. The ninety-fifth word starts with a capitalized letter. The ninety-sixth word starts with a lowercase letter. The ninety-seventh word starts with a capitalized letter. The ninety-eighth word starts with a lowercase letter. The ninety-ninth word starts with,9,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Each first word starts with a capitalized letter",. The second word starts with a lowercase letter. The third word starts with a capitalized letter. The fourth word starts with a lowercase letter. The fifth word starts with a capitalized letter. The sixth word starts with a lowercase letter. The seventh word starts with a capitalized letter. The eighth word starts with a lowercase letter. The ninth word starts with a capitalized letter. The tenth word starts with a lowercase letter. The eleventh word starts with a capitalized letter. The twelfth word starts with a lowercase letter. The thirteenth word starts with a capitalized letter. The fourteenth word starts with a lowercase letter. The fifteenth word starts with a capitalized letter. The sixteenth word starts with a lowercase letter. The seventeenth word starts with a capitalized letter. The eighteenth word starts with a lowercase letter. The nineteenth word starts with a capitalized letter. The twentieth word starts with a lowercase letter. The twenty-first word starts with a capitalized letter. The twenty-second word starts with a lowercase letter. The twenty-third word starts with a capitalized letter. The twenty-fourth word starts with a lowercase letter. The twenty-fifth word starts with a capitalized letter. The twenty-sixth word starts with a lowercase letter. The twenty-seventh word starts with a capitalized letter. The twenty-eighth word starts with a lowercase letter. The twenty-ninth word starts with a capitalized letter. The thirtieth word starts with a lowercase letter. The thirty-first word starts with a capitalized letter. The thirty-second word starts with a lowercase letter. The thirty-third word starts with a capitalized letter. The thirty-fourth word starts with a lowercase letter. The thirty-fifth word starts with a capitalized letter. The thirty-sixth word starts with a lowercase letter. The thirty-seventh word starts with a capitalized letter. The thirty-eighth word starts with a lowercase letter. The thirty-ninth word starts with a capitalized letter. The fortieth word starts with a lowercase letter. The forty-first word starts with a capitalized letter. The forty-second word starts with a lowercase letter. The forty-third word starts with a capitalized letter. The forty-fourth word starts with a lowercase letter. The forty-fifth word starts with a capitalized letter. The forty-sixth word starts with a lowercase letter. The forty-seventh word starts with a capitalized letter. The forty-eighth word starts with a lowercase letter. The forty-ninth word starts with a capitalized letter. The fiftieth word starts with a lowercase letter. The fifty-first word starts with a capitalized letter. The fifty-second word starts with a lowercase letter. The fifty-third word starts with a capitalized letter. The fifty-fourth word starts with a lowercase letter. The fifty-fifth word starts with a capitalized letter. The fifty-sixth word starts with a lowercase letter. The fifty-seventh word starts with a capitalized letter. The fifty-eighth word starts with a lowercase letter. The fifty-ninth word starts with a capitalized letter. The sixtieth word starts with a lowercase letter. The sixty-first word starts with a capitalized letter. The sixty-second word starts with a lowercase letter. The sixty-third word starts with a capitalized letter. The sixty-fourth word starts with a lowercase letter. The sixty-fifth word starts with a capitalized letter. The sixty-sixth word starts with a lowercase letter. The sixty-seventh word starts with a capitalized letter. The sixty-eighth word starts with a lowercase letter. The sixty-ninth word starts with a capitalized letter. The seventieth word starts with a lowercase letter. The seventy-first word starts with a capitalized letter. The seventy-second word starts with a lowercase letter. The seventy-third word starts with a capitalized letter. The seventy-fourth word starts with a lowercase letter. The seventy-fifth word starts with a capitalized letter. The seventy-sixth word starts with a lowercase letter. The seventy-seventh word starts with a capitalized letter. The seventy-eighth word starts with a lowercase letter. The seventy-ninth word starts with a capitalized letter. The eightieth word starts with a lowercase letter. The eighty-first word starts with a capitalized letter. The eighty-second word starts with a lowercase letter. The eighty-third word starts with a capitalized letter. The eighty-fourth word starts with a lowercase letter. The eighty-fifth word starts with a capitalized letter. The eighty-sixth word starts with a lowercase letter. The eighty-seventh word starts with a capitalized letter. The eighty-eighth word starts with a lowercase letter. The eighty-ninth word starts with a capitalized letter. The ninetieth word starts with a lowercase letter. The ninety-first word starts with a capitalized letter. The ninety-second word starts with a lowercase letter. The ninety-third word starts with a capitalized letter. The ninety-fourth word starts with a lowercase letter. The ninety-fifth word starts with a capitalized letter. The ninety-sixth word starts with a lowercase letter. The ninety-seventh word starts with a capitalized letter. The ninety-eighth word starts with a lowercase letter. The ninety-ninth word starts with,9,8,0.0
