index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. Mrs. Snyder used to spend 40% of her monthly income on rent and utilities.
2. Her salary was recently increased by $600.
3. Now, her rent and utilities only amount to 25% of her monthly income.

We need to find her previous monthly income. Let's denote her previous monthly income as x.

From the information given, we can set up two equations:

1. 0.4x = amount spent on rent and utilities before the salary increase
2. 0.25(x + 600) = amount spent on rent and utilities after the salary increase

Since the amount spent on rent and utilities remains the same, we can equate the two equations:

0.4x = 0.25(x + 600)

Now, we can solve for x:

0.4x = 0.25x + 150
0.4x - 0.25x = 150
0.15x = 150
x = 150 / 0.15
x = 1000

So, Mrs. Snyder's previous monthly income was $1000.
The answer is: 1000",1000,1000,1.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we are given the following information:

1. Kimber needs 10 cups of water.
2. Kimber needs 16 cups of flour.
3. Kimber needs 1/2 times as many teaspoons of salt as the number of cups of flour.

To find the combined total number of cups of water, flour, and teaspoons of salt, we need to calculate the number of teaspoons of salt first.

Step 1: Calculate the number of teaspoons of salt.
Since Kimber needs 1/2 times as many teaspoons of salt as the number of cups of flour, we can calculate the number of teaspoons of salt as follows:

Number of teaspoons of salt = (1/2) * Number of cups of flour
Number of teaspoons of salt = (1/2) * 16
Number of teaspoons of salt = 8

Step 2: Calculate the combined total number of cups of water, flour, and teaspoons of salt.
Now that we have the number of teaspoons of salt, we can calculate the combined total number of cups of water, flour, and teaspoons of salt:

Combined total = Number of cups of water + Number of cups of flour + Number of teaspoons of salt
Combined total = 10 + 16 + 8
Combined total = 34

So, Kimber needs a combined total of 34 cups of water, flour, and teaspoons of salt to make the pizza.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. Artemis's mom drinks an 8-ounce cup of tea and uses one ounce of tea.
2. The party has 12 people.
3. Each person wants a 6-ounce cup of tea.

We need to find out how many ounces of tea Artemis needs for the party. To do this, we can use the ratio of tea to the amount of tea consumed by her mom as a reference.

Step 1: Determine the ratio of tea to the amount of tea consumed by her mom.
Artemis's mom drinks an 8-ounce cup of tea and uses one ounce of tea. So, the ratio of tea to the amount of tea consumed is 1:8.

Step 2: Apply the ratio to the party situation.
Each person wants a 6-ounce cup of tea. We need to find out how much tea is needed for each 6-ounce cup. To do this, we can set up a proportion using the ratio we found in step 1:

1 ounce of tea / 8 ounces of tea consumed = x ounces of tea / 6 ounces of tea consumed

Step 3: Solve for x.
To solve for x, we can cross-multiply and divide:

(1 ounce of tea * 6 ounces of tea consumed) / 8 ounces of tea consumed = x ounces of tea
6 / 8 = x
x = 0.75

So, for each 6-ounce cup of tea, Artemis needs 0.75 ounces of tea.

Step 4: Calculate the total amount of tea needed for the party.
There are 12 people at the party, and each wants a 6-ounce cup of tea. To find the total amount of tea needed, we can multiply the amount of tea needed for one cup by the number of people:

0.75 ounces of tea per cup * 12 cups = 9 ounces of tea

Artemis needs 9 ounces of tea for the party.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. Anna gets 14 pieces of candy per house.
2. Billy gets 11 pieces of candy per house.
3. The first subdivision has 60 houses.
4. The second subdivision has 75 houses.

The question asks for the difference in the number of pieces of candy Anna and Billy get. To find this, we need to calculate the total number of pieces of candy each of them gets and then subtract Billy's total from Anna's total.

Step 1: Calculate the total number of pieces of candy Anna gets.
Anna gets 14 pieces of candy per house, and there are 60 houses in the first subdivision. So, we multiply the number of pieces of candy per house by the number of houses:

14 pieces/house * 60 houses = 840 pieces of candy

Step 2: Calculate the total number of pieces of candy Billy gets.
Billy gets 11 pieces of candy per house, and there are 75 houses in the second subdivision. So, we multiply the number of pieces of candy per house by the number of houses:

11 pieces/house * 75 houses = 825 pieces of candy

Step 3: Find the difference in the number of pieces of candy Anna and Billy get.
Now, we subtract Billy's total from Anna's total:

840 pieces of candy (Anna) - 825 pieces of candy (Billy) = 15 pieces of candy

So, Anna gets 15 more pieces of candy than Billy.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. There are 12 monkeys in the family.
2. There are 10 piles of bananas.
3. 6 piles have 9 hands, with each hand having 14 bananas.
4. The remaining 4 piles have 12 hands, with each hand having 9 bananas.

To find the total number of bananas, we need to calculate the number of bananas in each type of pile and then add them together.

For the first type of pile:
6 piles * 9 hands/pile * 14 bananas/hand = 756 bananas

For the second type of pile:
4 piles * 12 hands/pile * 9 bananas/hand = 432 bananas

Now, we add the number of bananas from both types of piles:
756 bananas + 432 bananas = 1188 bananas

Finally, we divide the total number of bananas by the number of monkeys to find out how many bananas each monkey would get:
1188 bananas / 12 monkeys = 99 bananas per monkey

So, each monkey would get 99 bananas if they divide the bananas equally amongst themselves.
The answer is: 99",99,99,1.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. Alan collected four times as many shells as Ben did.
2. Ben collected a third of what Laurie did.
3. Laurie collected 36 shells.

To find out how many shells Alan collected, we need to determine how many shells Ben collected first, and then use that information to find out how many shells Alan collected.

Step 1: Find out how many shells Ben collected.
Since Ben collected a third of what Laurie did, we can calculate the number of shells Ben collected by dividing Laurie's total by 3:

Ben's shells = Laurie's shells / 3
Ben's shells = 36 / 3
Ben's shells = 12

Step 2: Find out how many shells Alan collected.
Now that we know Ben collected 12 shells, we can find out how many shells Alan collected by multiplying Ben's total by 4:

Alan's shells = Ben's shells * 4
Alan's shells = 12 * 4
Alan's shells = 48

So, Alan collected 48 shells.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the dimensions of the aquarium and the actions taken by Nancy and her cat.

Step 1: Calculate the total volume of the aquarium.
The volume of a rectangular prism (aquarium) can be calculated using the formula: Volume = length × width × height.

Volume = 4 ft (length) × 6 ft (width) × 3 ft (height) = 72 cubic feet

Step 2: Determine the volume of water after Nancy fills it halfway.
Since Nancy fills the aquarium halfway, we need to find half of the total volume.

Halfway volume = 72 cubic feet (total volume) / 2 = 36 cubic feet

Step 3: Determine the volume of water after the cat knocks the aquarium over.
The cat spills half of the water, so we need to find half of the halfway volume.

Spilled water volume = 36 cubic feet (halfway volume) / 2 = 18 cubic feet

Step 4: Determine the volume of water after Nancy triples the remaining water.
Nancy triples the remaining water, so we need to multiply the spilled water volume by 3.

Final water volume = 18 cubic feet (spilled water volume) × 3 = 54 cubic feet

So, there are 54 cubic feet of water in the aquarium after all the events.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. Hector gave 4 gumballs to Todd.
2. Hector gave twice as many gumballs to Alisha as he gave to Todd.
3. Hector gave 5 less than four times as many gumballs to Bobby as he gave to Alisha.
4. Hector had 6 gumballs remaining.

Now, let's use this information to find the total number of gumballs Hector purchased.

Step 1: Calculate the number of gumballs given to Alisha.
Since Hector gave twice as many gumballs to Alisha as he gave to Todd, we can calculate the number of gumballs given to Alisha as follows:
Gumballs given to Alisha = 2 * Gumballs given to Todd
Gumballs given to Alisha = 2 * 4
Gumballs given to Alisha = 8

Step 2: Calculate the number of gumballs given to Bobby.
Hector gave 5 less than four times as many gumballs to Bobby as he gave to Alisha. We can calculate the number of gumballs given to Bobby as follows:
Gumballs given to Bobby = (4 * Gumballs given to Alisha) - 5
Gumballs given to Bobby = (4 * 8) - 5
Gumballs given to Bobby = 32 - 5
Gumballs given to Bobby = 27

Step 3: Calculate the total number of gumballs Hector purchased.
Now that we know the number of gumballs given to Todd, Alisha, and Bobby, we can calculate the total number of gumballs Hector purchased by adding the gumballs given to each person and the remaining gumballs:
Total gumballs = Gumballs given to Todd + Gumballs given to Alisha + Gumballs given to Bobby + Remaining gumballs
Total gumballs = 4 + 8 + 27 + 6
Total gumballs = 45

So, Hector purchased a total of 45 gumballs.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. The couple has two children, ages 6 and 10 years old.
2. The regular ticket costs $109.
3. Children below 12 years old have a $5 discount.
4. They gave the cashier $500.

Now, let's break down the problem step by step:

Step 1: Determine the ticket prices for the children.
Since both children are below 12 years old, they will receive a $5 discount on their tickets. So, the ticket price for each child will be $109 - $5 = $104.

Step 2: Calculate the total cost of the tickets for the family.
The couple will need two adult tickets, and the children will need two discounted tickets. So, the total cost will be (2 * $109) + (2 * $104) = $218 + $208 = $426.

Step 3: Calculate the change they will receive.
They gave the cashier $500, so the change they will receive is $500 - $426 = $74.

So, the answer is $74.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",74,74,1.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: When solving a math word problem, first identify the quantity of information provided and its relevance to answering the question."," In this case, we have the following information:

1. The owner ordered ground beef in four - pound packages.
2. The first butcher delivered 10 packages.
3. The second butcher delivered 7 packages.
4. The total weight of the ground beef delivered by all three butchers is 100 pounds.

To find the number of packages delivered by the third butcher, we can follow these steps:

Step 1: Calculate the total weight of the ground beef delivered by the first and second butchers.
10 packages (from the first butcher) * 4 pounds per package = 40 pounds
7 packages (from the second butcher) * 4 pounds per package = 28 pounds

Step 2: Add the weights from the first and second butchers to find the total weight of ground beef delivered by them.
40 pounds (from the first butcher) + 28 pounds (from the second butcher) = 68 pounds

Step 3: Subtract the total weight of ground beef delivered by the first and second butchers from the total weight of ground beef delivered by all three butchers to find the weight of ground beef delivered by the third butcher.
100 pounds (total weight) - 68 pounds (weight from first and second butchers) = 32 pounds

Step 4: Divide the weight of ground beef delivered by the third butcher by the weight of each package to find the number of packages delivered by the third butcher.
32 pounds (weight from the third butcher) / 4 pounds per package = 8 packages

So, the third butcher delivered 8 packages of ground beef.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",step-by,8,0.0
