index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that Mrs. Snyder's rent and utilities amount to a certain percentage of her monthly income. We can use this pattern to set up an equation and solve for her previous monthly income.
The answer is 2400

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A: The first three baskets contain a total of 9 + 15 + 14 = 38 fruits. The fourth basket contains 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas. The fourth basket contains a total of 7 + 13 + 12 = 32 fruits. There are 38 + 32 = 70 fruits in the 4 baskets. The answer is 70.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
The first three baskets contain a total of 9 + 15 + 14 = 38 fruits. The fourth basket contains 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas. The fourth basket contains a total of 7 + 13 + 12 = 32 fruits. There are 38 + 32 = 70 fruits in the 4 baskets. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",2400,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that the number of teaspoons of salt is 1 / 2 times the number of cups of flour. So, the number of teaspoons of salt is 1 / 2 * 16 = 8. The combined total number of cups of water, flour, and teaspoons of salt is 10 + 16 + 8 = 34. The answer is 34.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. Altogether, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
First, let's find the total number of fruits in the first three baskets. There are 9 apples, 15 oranges, and 14 bananas, so the total number of fruits in the first three baskets is 9 + 15 + 14 = 38 fruits.

Now, let's find the number of fruits in the fourth basket. Since there are 2 less of each fruit in the fourth basket, there are 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas in the fourth basket. So, the total number of fruits in the fourth basket is 7 + 13 + 12 = 32 fruits.

Finally, let's find the total number of fruits in all four baskets. The total number of fruits is 38 (from the first three baskets) + 32 (from the fourth basket) = 70 fruits. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",34,34,1.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that the amount of tea used is proportional to the amount of water used. So, if 8 ounces of water requires 1 ounce of tea, then 6 ounces of water will require 6 / 8 = 3 / 4 ounce of tea. Since there are 12 people at the party, Artemis will need 12 * (3 / 4) = 9 ounces of tea. The answer is 9.
Question: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

Answer: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. In total, they spent $15 + $15 + $80 = $110. The answer is 110.
[Question]A store owner ordered 20 cases of bottles of soda in April and 30 cases in May. There are 20 bottles per case. How many bottles of soda did the store owner order in April and May?

[Answer]The store owner ordered a total of 20 + 30 = 50 cases. Therefore, the store owner ordered a total of 50 x 20 = 1000 bottles of soda. The answer is 1000.
Q: A school has 100 students. Half of the students are girls, the other half are boys. 20% of the girls have dogs at home and 10% of the boys have dogs at home. How many students own dogs?

A: There are 100 / 2 = 50 girls. There are 50 * (20 / 100) = 10 girls with dogs. There are 50 * (10 / 100) = 5 boys with dogs. In total there are 10 + 5 = 15 students with dogs. The answer is 15.
Question: A school has 100 students. Half of the students are girls, the other half are boys. 20% of the girls have dogs at home and 10% of the boys have dogs at home. How many students own dogs?

Answer: There are 100 / 2 = 50 girls. There are 50 * (20 / 100) = 10 girls with dogs. There are 50 * (10 / 100) = 5 boys with dogs. In total there are 10 + 5 = 15 students with dogs. The answer is 15.
Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A:
3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. In total, they spent $15 + $15 + $80 = $110. The answer is 110.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",9,9,1.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that Anna gets 14 pieces of candy per house, and Billy gets 11 pieces of candy per house. To find out how many more pieces of candy Anna gets, we need to calculate the total number of pieces of candy each of them gets and then subtract Billy's total from Anna's total.

Here's the step-by-step solution:

1. Calculate the total number of pieces of candy Anna gets:
\[ \text{Total candy for Anna} = 14 \times 60 \]

2. Calculate the total number of pieces of candy Billy gets:
\[ \text{Total candy for Billy} = 11 \times 75 \]

3. Find the difference between the total number of pieces of candy Anna gets and the total number of pieces of candy Billy gets:
\[ \text{Difference} = \text{Total candy for Anna} - \text{Total candy for Billy} \]

Let's implement this in Python to get the accurate result.
```python
# Number of pieces of candy per house
candy_per_house_anna = 14
candy_per_house_billy = 11

# Number of houses in each subdivision
houses_anna = 60
houses_billy = 75

# Total number of pieces of candy each gets
total_candy_anna = candy_per_house_anna * houses_anna
total_candy_billy = candy_per_house_billy * houses_billy

# Difference in the number of pieces of candy
difference = total_candy_anna - total_candy_billy
print(difference)
```
```output
15
```
The difference in the number of pieces of candy Anna gets compared to Billy is \(\boxed{15}\).",15,15,1.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that the number of bananas in each pile is the same, regardless of whether it has 9 hands or 12 hands. So, we can calculate the total number of bananas by multiplying the number of piles by the number of hands in each pile and then by the number of bananas in each hand. This gives us a total of 10 piles x 9 hands x 14 bananas = 1260 bananas. To find out how many bananas each monkey would get, we divide the total number of bananas by the number of monkeys, which is 12. This gives us 1260 bananas / 12 monkeys = 105 bananas per monkey. So, each monkey would get 105 bananas if they divide the bananas equally amongst themselves.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: The key to solving these problems is to identify the underlying pattern. In this case, the pattern is that the number of bananas in each pile is the same, regardless of whether it has 9 hands or 12 hands. So, we can calculate the total number of bananas by multiplying the number of piles by the number of hands in each pile and then by the number of bananas in each hand. This gives us a total of 10 piles x 9 hands x 14 bananas = 1260 bananas. To find out how many bananas each monkey would get, we divide the total number of bananas by the number of monkeys, which is 12. This gives us 1260 bananas / 12 monkeys = 105 bananas per monkey. So, each monkey would get 105 bananas if they divide the bananas equally amongst themselves.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: The key to solving these problems is to identify the underlying pattern. In this case, the pattern is that the number of bananas in each pile is the same, regardless of whether it has 9 hands or 12 hands. So, we can calculate the total number of bananas by multiplying the number of piles by the number of hands in each pile and then by the number of bananas in each hand. This gives us a total of 10 piles x 9 hands x 14 bananas = 1260 bananas. To find out how many bananas each monkey would get, we divide the total number of bananas by the number of monkeys, which is 12. This gives us 1260 bananas / 12 monkeys = 105 bananas per monkey. So, each monkey would get 105 bananas if they divide the bananas equally amongst themselves.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: The key to solving these problems is to identify the underlying pattern. In this case, the pattern is that the number of bananas in each pile is the same, regardless of whether it has 9 hands or 12 hands. So, we can calculate the total number of bananas by multiplying the number of piles by the number of hands in each pile and then by the number of bananas in each hand. This gives us a total of 10 piles x 9 hands x 14 bananas = 1260 bananas. To find out how many bananas each monkey would get, we divide the total number of bananas by the number of monkeys, which is 12. This gives us 1260 bananas / 12 monkeys = 105 bananas per monkey. So, each monkey would get 105 bananas if they divide the bananas equally amongst themselves.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: The key to solving these problems is to identify the underlying pattern. In this case, the pattern is that the number of bananas in each pile is the same,",105,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that Alan collected four times as many shells as Ben, and Ben collected a third of what Laurie did. We can use this pattern to find the number of shells Alan collected. First, we need to find out how many shells Ben collected. Since Ben collected a third of what Laurie did, and Laurie collected 36 shells, we can calculate the number of shells Ben collected as follows: Ben = 36 / 3 = 12 shells. Now that we know how many shells Ben collected, we can find out how many shells Alan collected. Since Alan collected four times as many shells as Ben, we can calculate the number of shells Alan collected as follows: Alan = 12 * 4 = 48 shells. Therefore, Alan collected 48 shells. The answer is 48.

Q: A school has 1000 students. Half of the students were taken on a trip to the nearby beach. Half of the remaining students were sent home. How many students are still in the school?

A: 1000 * 1 / 2 = 500 students were taken on a trip to the nearby beach. So 1000 - 500 = 500 students were not taken to the beach. Thus, 500 / 2 = 250 students who were not taken to the beach were sent home. Thus, 500 - 250 = 250 students are still in school. The answer is 250.

Q: A school has 1000 students. Half of the students were taken on a trip to the nearby beach. Half of the remaining students were sent home. How many students are still in the school?

A:
1000 * 1 / 2 = 500 students were taken on a trip to the nearby beach. So 1000 - 500 = 500 students were not taken to the beach. Thus, 500 / 2 = 250 students who were not taken to the beach were sent home. Thus, 500 - 250 = 250 students are still in school. The answer is 250.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",48,48,1.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that the amount of water in the aquarium is multiplied by 3 every time Nancy fills it. So, if we start with 1 unit of water, after Nancy fills it halfway, we have 1.5 units of water. Then, after the cat knocks it over, we have 0.75 units of water. Finally, after Nancy triples the amount of water, we have 2.25 units of water. Therefore, the answer is 2.25 cubic feet of water in the aquarium. The answer is 2.25.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. In total, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A school has 1000 students. Half of the students were taken on a trip to the nearby beach. Half of the remaining students were sent home. How many students are still in the school?

A:
First, we need to find out how many students went on the trip to the beach. Since half of the 1000 students went on the trip, there were 1000 / 2 = 500 students on the trip. Now, we need to find out how many students were left in the school after the trip. There were 1000 - 500 = 500 students left. Then, half of the remaining students were sent home, which means 500 / 2 = 250 students were sent home. Finally, we need to find out how many students are still in the school. There were 500 - 250 = 250 students still in the school. The answer is 250.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",2,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: The key to solving these problems is to identify the underlying pattern"," and then use that pattern to find the solution. In this case, the pattern is that Hector gives away a certain number of gumballs to each person, and then he has a certain number of gumballs remaining. To find the total number of gumballs that Hector purchased, we need to add up the number of gumballs that he gave away to each person and the number of gumballs that he has remaining. Let's start by identifying the number of gumballs that Hector gave away to each person. We know that he gave 4 gumballs to Todd, and then he gave twice as many as he had given Todd to Alisha. So, he gave 4 x 2 = 8 gumballs to Alisha. Then, he gave 5 less than four times as many to Bobby as he had given to Alisha. So, he gave 8 x 4 - 5 = 27 gumballs to Bobby. Now, let's add up the number of gumballs that Hector gave away to each person and the number of gumballs that he has remaining. He gave away 4 + 8 + 27 = 39 gumballs, and he has 6 gumballs remaining. Therefore, the total number of gumballs that Hector purchased is 39 + 6 = 45. The answer is 45.",45,45,1.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that the ticket price for children is $5 less than the ticket price for adults. We can use this pattern to calculate the total cost of the tickets and then subtract that from the amount the couple gave the cashier to find the change they will receive.

Here's the step-by-step process:

1. Calculate the ticket price for the 6-year-old child: $109 - $5 = $104.
2. Calculate the ticket price for the 10-year-old child: $109 - $5 = $104.
3. Calculate the total cost of the tickets: $109 (for the adult) + $104 (for the 6-year-old) + $104 (for the 10-year-old) = $317.
4. Subtract the total cost of the tickets from the amount the couple gave the cashier: $500 - $317 = $183.

Therefore, the change the couple will receive is $183.

The answer is: 183

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: The key to solving these problems is to identify the underlying pattern. In this case, the pattern is that the ticket price for children is $5 less than the ticket price for adults. We can use this pattern to calculate the total cost of the tickets and then subtract that from the amount the couple gave the cashier to find the change they will receive.

Here's the step-by-step process:

1. Calculate the ticket price for the 6-year-old child: $109 - $5 = $104.
2. Calculate the ticket price for the 10-year-old child: $109 - $5 = $104.
3. Calculate the total cost of the tickets: $109 (for the adult) + $104 (for the 6-year-old) + $104 (for the 10-year-old) = $317.
4. Subtract the total cost of the tickets from the amount the couple gave the cashier: $500 - $317 = $183.

Therefore, the change the couple will receive is $183.

The answer is: 183

Q: A dog barks 30 times per minute. If 2 dogs bark 30 times per minute, how many times will they have barked after 10 minutes?

A: If 2 dogs bark 30 times per minute, they will have barked 2 * 30 = 60 times after 1 minute. After 10 minutes, they will have barked 10 * 60 = 600 times. The answer is 600.

Q: A dog barks 30 times per minute. If 2 dogs bark 30 times per minute, how many times will they have barked after 10 minutes?

A: If 2 dogs bark 30 times per minute, they will have barked 2 * 30 = 60 times after 1 minute. After 10 minutes, they will have barked 10 * 60 = 600 times. The answer is 600.

Q: A dog barks 30 times per minute. If 2 dogs bark 30 times per minute, how many times will they have barked after 10 minutes?

A: If 2 dogs bark 30 times per minute, they will have barked 2 * 30 = 60 times after 1 minute. After 10 minutes, they will have barked 10 * 60 = 600 times. The answer is 600.

Q: A dog barks 30 times per minute. If 2 dogs bark 30 times per minute, how many times will they have barked after 10 minutes?

A: If 2 dogs bark 30 times per minute, they will have barked 2 * 30 = 60 times after 1 minute. After 10 minutes, they will have barked 10 * 60 = 600 times. The answer is 600.",183,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: The key to solving these problems is to identify the underlying pattern",". In this case, the pattern is that the number of packages delivered by each butcher is a multiple of 3. We can use this pattern to find the number of packages delivered by the third butcher. Let's start by finding the number of packages delivered by the first butcher. We know that the first butcher delivered 10 packages, so the number of packages delivered by the second butcher must be a multiple of 3 that is less than 10. The only multiple of 3 that is less than 10 is 9, so the second butcher delivered 9 packages. Now we can find the number of packages delivered by the third butcher. We know that the total weight of the ground beef delivered by the three butchers is 100 pounds, and we know that each package weighs 4 pounds. So the total number of packages delivered by the three butchers is 100 / 4 = 25. We also know that the first butcher delivered 10 packages and the second butcher delivered 9 packages, so the third butcher must have delivered 25 - 10 - 9 = 6 packages. Therefore, the third butcher delivered 6 packages.
The answer is 6

Q: A man is purchasing a pair of sneakers at a club store where he receives a membership discount of 10% off any purchase. In addition to the membership discount, the man also has a coupon for $10 off any pair of sneakers. If the man wants to purchase a $120 pair of sneakers and the membership discount must be applied after the coupon, how much will he pay for the sneakers after using both the coupon and membership discount?

A: The coupon is applied first, reducing the price of the sneakers to 120 - 10 = $110. The membership discount is then applied, reducing the price of the sneakers to 110 * (1 - 0.1) = $99.
The answer is 99

Q: A school has 1000 students. Half of the students were taken on a trip to the nearby beach. Half of the remaining students were sent home. How many students are still in the school?

A:
First, we need to find out how many students went on the trip to the beach. Since half of the students were taken on the trip, there are 1000 * 0.5 = 500 students on the trip. Now, we need to find out how many students are left in the school. Since half of the remaining students were sent home, there are 500 * 0.5 = 250 students still in the school.
The answer is 250.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",6,8,0.0
