index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: We will use an anchor question to find the answer",. We know that the rent and utilities are 25% of the new income. We can use this to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25% of the new income to find the new income. We can then use the 40% of the old income to find the old income. We can then use the 25,25,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: We will use an anchor question to find the answer", to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this question. We will use the anchor question to find the answer to this,question.,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: We will use an anchor question to find the answer",. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer.,answer.,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: We will use an anchor question to find the answer",". The anchor question is: If Anna goes to 60 houses and Billy goes to 75 houses, how many more pieces of candy does Anna get? The answer is 60*14 - 75*11 = 420 - 825 = -405. This is the difference between the number of pieces of candy Anna gets and the number of pieces of candy Billy gets. We can use this difference to find the answer to the original question. The answer is 60*14 - 75*11 + 405 = 420 - 825 + 405 = 0.",0,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: We will use an anchor question to find the answer",". The anchor question is: How many bananas would each monkey get if they divide the bananas equally amongst themselves?

We will use the following steps to solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

1. We will first find the total number of bananas in each pile.
2. We will then find the total number of bananas in all the piles.
3. We will then divide the total number of bananas by the number of monkeys to find the number of bananas each monkey would get.

Let us now solve the anchor question:

",themselves?,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: We will use an anchor question to find the answer",. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer. We will use the anchor question to find the answer.,answer.,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: We will use an anchor question to find the answer",". The anchor question is: If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium if it is filled halfway? We can use the formula for volume to find the answer. The formula for volume is V = lwh. We plug in the values for l, w, and h. V = (4)(6)(1.5) = 36 cubic feet. Now we can use this answer to find the answer to the original question. We know that Nancy filled the aquarium halfway, so there are 36 cubic feet of water in the aquarium. Then the cat spilled half the water in the aquarium, so there are 18 cubic feet of water in the aquarium. Then Nancy tripled the amount of water in the aquarium, so there are 54 cubic feet of water in the aquarium.",36,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: We will use an anchor question to find the answer",".  We will assume that Hector purchased 12 gumballs.  If he purchased 12 gumballs, then he gave 4 to Todd, 8 to Alisha, and 32 to Bobby.  If he had 6 gumballs remaining, then he gave 6 to Todd, 14 to Alisha, and 38 to Bobby.  This is not the correct answer, so we will try again.  We will assume that Hector purchased 24 gumballs.  If he purchased 24 gumballs, then he gave 4 to Todd, 8 to Alisha, and 32 to Bobby.  If he had 6 gumballs remaining, then he gave 6 to Todd, 14 to Alisha, and 38 to Bobby.  This is the correct answer, so we will stop here.  The correct answer is 24.",24,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: We will use an anchor question to find the answer",". The anchor question is: How much change will they receive if they bought 2 regular tickets and 2 discounted tickets?

We know that the cost of 2 regular tickets is $218. The cost of 2 discounted tickets is $208. The total cost is $426. The change they will receive is $500 - $426 = $74.

We can use the same method to find the answer to the original question. The cost of 2 regular tickets is $218. The cost of 2 discounted tickets is $202. The total cost is $420. The change they will receive is $500 - $420 = $80.

The correct answer is (C).",(c),74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: We will use an anchor question to find the answer",". The anchor question is: If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the first butcher deliver? The answer is 10 packages. The second butcher delivered 7 packages. The third butcher delivered 83 packages.",10,8,0.0
