index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: . The starting sentences <Start> and", <End> are used to indicate the beginning and end of the question. The question is then followed by the answer. The answer is a single sentence. The answer is not a question. The answer is not a statement of fact. The answer is not a statement of opinion. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a statement of belief. The answer is not a,,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: . The starting sentences <Start> and"," <End> are not part of the question. They are used to indicate the beginning and end of the question. The question is: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza. The question is asking for the combined total number of cups of water, flour, and teaspoons of salt that Kimber needs to make the pizza. To solve this problem, we need to find the total number of cups of water, flour, and teaspoons of salt that Kimber needs. We can do this by adding the number of cups of water, flour, and teaspoons of salt that Kimber needs. To find the number of cups of water, we can use the given information that Kimber needs 10 cups of water. To find the number of cups of flour, we can use the given information that Kimber needs 16 cups of flour. To find the number of teaspoons of salt, we can use the given information that Kimber needs 1/2 times as many teaspoons of salt as the number of cups of flour. We can use the formula for finding the number of teaspoons of salt as follows: teaspoons of salt = 1/2 x number of cups of flour To find the number of teaspoons of salt, we can substitute the given information into the formula as follows: teaspoons of salt = 1/2 x 16 = 8 teaspoons of salt Now, we can add the number of cups of water, flour, and teaspoons of salt to find the combined total number of cups of water, flour, and teaspoons of salt that Kimber needs. We can use the formula for finding the combined total as follows: combined total = cups of water + cups of flour + teaspoons of salt To find the combined total, we can substitute the given information into the formula as follows: combined total = 10 cups of water + 16 cups of flour + 8 teaspoons of salt = 34 cups of water, flour, and teaspoons of salt Therefore, the combined total number of cups of water, flour, and teaspoons of salt that Kimber needs to make the pizza is 34 cups.",34,34,1.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: . The starting sentences <Start> and", <End> are not included in the answer.,<end>,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: . The starting sentences <Start> and"," <End> are used to indicate the beginning and end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the <End> tag is used to indicate the end of the problem. The <Start> tag is used to indicate the beginning of the problem, and the",<start>,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: . The starting sentences <Start> and", <End> are not part of the question. They are used to indicate the beginning and end of the question.,question.,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: . The starting sentences <Start> and", <End> are used to indicate the beginning and end of the problem. The <Start> and <End> tags are not part of the problem; they are included here to make it clear where the problem starts and ends. The <Problem> tag is used to indicate the problem statement. The <Answer> tag is used to indicate the answer to the problem. The <Part> tag is used to indicate a part of the problem. The <Variable> tag is used to indicate a variable in the problem. The <Number> tag is used to indicate a number in the problem. The <Operation> tag is used to indicate an operation in the problem. The <Equation> tag is used to indicate an equation in the problem. The <Solution> tag is used to indicate the solution to the problem. The <Step> tag is used to indicate a step in the solution. The <Comment> tag is used to indicate a comment in the solution. The <Example> tag is used to indicate an example in the solution. The <Explanation> tag is used to indicate an explanation in the solution. The <Conclusion> tag is used to indicate a conclusion in the solution. The <Proof> tag is used to indicate a proof in the solution. The <Theorem> tag is used to indicate a theorem in the solution. The <Lemma> tag is used to indicate a lemma in the solution. The <Corollary> tag is used to indicate a corollary in the solution. The <Definition> tag is used to indicate a definition in the solution. The <Example> tag is used to indicate an example in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to indicate a counterexample in the solution. The <Counterexample> tag is used to,<counterexample>,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: . The starting sentences <Start> and", <End> are not included in the answer.,<end>,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: . The starting sentences <Start> and"," <End> are the same.  The <Start> sentence is the first sentence of the problem, and the <End> sentence is the last sentence of the problem.  The <Start> and <End> sentences are the same if the problem is a closed problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End> sentences are different if the problem is an open problem.  The <Start> and <End",<,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: . The starting sentences <Start> and", <End> are not included in the answer.,<end>,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: . The starting sentences <Start> and", <End> are not included in the answer choices. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The answer choices are in the form of a number. The,number.,8,0.0
