index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: We can simplify the problem by identifying the cost of specific components of the bike",". The cost of the bike is $1000, and the cost of the helmet is $100. The total cost of the bike and helmet is $1100. The total cost of the bike and helmet is 1100, and the cost of the bike is 1000. The cost of the helmet is 1100 - 1000 = 100. The answer is 100.
Question: A bike and a helmet cost $110 in total. The bike costs $90. How much does the helmet cost?

Reasoning and answer: The total cost of the 3000 grams of flour is 3000 * $0.05 = $150. The total cost of the 2000 grams of sugar is 2000 * $0.04 = $80. The total cost of the 1000 grams of butter is 1000 * $0.08 = $80. The total cost of the ingredients is $150 + $80 + $80 = $310. The total cost of the ingredients is 310 * 1.05 = $325.5.
The answer: 325.5
What was the question?
Question: A bakery sells boxes of doughnuts and if there are any doughnuts left at the end of the day, the bakery gives them away. Each box of doughnuts holds 10 doughnuts and all of the doughnuts that the bakery makes are put into these boxes. The bakery makes 300 doughnuts for the day and sells 27 boxes of doughnuts throughout the day. How many doughnuts are given away at the end of the day?

The total number of students in the school is 1000 * 2 = 2000 students. The total number of students who are not in the band is 2000 - 100 = 1900 students. The total number of students in the band who play a brass instrument is 100 * 1 / 5 = 20 students. The total number of students in the band who play a woodwind instrument is 100 * 2 / 5 = 40 students. The total number of students in the band who do not play a brass or woodwind instrument is 100 - 20 - 40 = 40 students. The total number of students who do not play a brass or woodwind instrument is 1900 - 40 = 1860 students.
The answer: 1860
Reverse engineering the question: In a school of 850 boys, 44% of Muslims, 28% Hindus, 10% Sikhs and the remaining of other communities. How many belonged to the other communities?

Reasoning and answer: The total number of students in the class is 20 + 15 = 35. The total number of students who have brown eyes is 20 * 1 / 4 = 5. The total number of students who have blue eyes is 15 * 3 / 5 = 9. The total number of students who have neither brown nor blue eyes is 35 - 5 - 9 = 21.
The answer: 21
What was the question?
Question: In a class of 20 students, 40% like blue, 25% like red, and the rest like yellow. How many students like yellow the most?

The total number of students in the class is 20 + 15 = 35. The total number of students who have brown eyes is 20 * 1 / 4 = 5. The total number of students who have blue eyes is 15 * 3 / 5 = 9. The total number of students who have neither brown nor blue eyes is 35 - 5 - 9 = 21.
The answer: 21
Reverse engineering the question: In a class of 20 students, 40% like blue, 25% like red, and the rest like yellow. How many students like yellow the most?

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A: In the first three baskets, there are 9 apples + 15 oranges + 14 bananas = 38 fruits. In the fourth basket, there are 9 apples - 2 = 7 apples, 15 oranges - 2 =",100,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: We can simplify the problem by identifying the cost of specific components of the bike",". The bike's frame costs $100, and the front wheel costs $20. The total cost of the bike is $300. We can use this information to calculate the cost of the remaining components, which is $300 - $100 - $20 = $180. The remaining components are the back wheel and the seat. Since the back wheel costs twice as much as the seat, we can represent the cost of the seat as x and the cost of the back wheel as 2x. Therefore, the total cost of the remaining components is x + 2x = 3x. We can set up the equation 3x = $180 and solve for x. Dividing both sides of the equation by 3, we get x = $60. Therefore, the cost of the seat is $60. The answer is 60.
Explain how we arrive at this answer.",60,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: We can simplify the problem by identifying the cost of specific components of the bike",". We know that the frame is 1 / 3 of the cost of the bike, so the frame is 1 / 3 * $540 = $180. The front wheel is 1 / 6 of the cost of the bike, so the front wheel is 1 / 6 * $540 = $90. The back wheel is 1 / 9 of the cost of the bike, so the back wheel is 1 / 9 * $540 = $60. The total cost of the frame, front wheel, and back wheel is $180 + $90 + $60 = $330. The total cost of the bike is $540, so the cost of the seat and handlebar tape is $540 - $330 = $210. The seat is twice as expensive as the handlebar tape, so the seat is 2 * $210 / 3 = $140. The handlebar tape is $210 / 3 = $70. The answer is 70.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. Altogether, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
First, let's find the total number of fruits in the first three baskets. There are 9 apples, 15 oranges, and 14 bananas, so the total number of fruits in the first three baskets is 9 + 15 + 14 = 38 fruits.

Now, let's find the number of fruits in the fourth basket. Since there are 2 less of each fruit in the fourth basket, there are 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas in the fourth basket. So, the total number of fruits in the fourth basket is 7 + 13 + 12 = 32 fruits.

Finally, let's find the total number of fruits in all four baskets. There are 38 fruits in the first three baskets and 32 fruits in the fourth basket, so the total number of fruits is 38 + 32 = 70 fruits. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",70,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: We can simplify the problem by identifying the cost of specific components of the bike",". The bike costs $1000, and the handlebars cost 1 / 5 * 1000 = $200. The total cost of the bike and the handlebars is $1000 + $200 = $1200. The wheels cost 1 / 4 * 1200 = $300. The total cost of the bike, handlebars, and wheels is $1200 + $300 = $1500. The seat costs 1 / 10 * 1500 = $150. The total cost of the bike, handlebars, wheels, and seat is $1500 + $150 = $1650. The cost of the front wheel is $1650 - $1000 = $650. The answer is 650.
Explain how we arrive at this answer:

Step 1: Identify the cost of specific components of the bike.
- The bike costs $1000.
- The handlebars cost 1/5 * $1000 = $200.

Step 2: Calculate the total cost of the bike and the handlebars.
- Total cost = $1000 (bike) + $200 (handlebars) = $1200.

Step 3: Calculate the cost of the wheels.
- The wheels cost 1/4 * $1200 = $300.

Step 4: Calculate the total cost of the bike, handlebars, and wheels.
- Total cost = $1200 (bike and handlebars) + $300 (wheels) = $1500.

Step 5: Calculate the cost of the seat.
- The seat costs 1/10 * $1500 = $150.

Step 6: Calculate the total cost of the bike, handlebars, wheels, and seat.
- Total cost = $1500 (bike, handlebars, and wheels) + $150 (seat) = $1650.

Step 7: Calculate the cost of the front wheel.
- The cost of the front wheel is $1650 - $1000 = $650.

So, the cost of the front wheel is $650.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",650,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: We can simplify the problem by identifying the cost of specific components of the bike",". The frame costs $100, and the front wheel costs $50. The total cost of the bike is $200. We can subtract the cost of the frame and the front wheel from the total cost to find the cost of the back wheel. $200 - $100 - $50 = $50. The answer is 50.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. In total, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
First, let's find the total number of fruits in the first three baskets. There are 9 apples, 15 oranges, and 14 bananas, so the total number of fruits in the first three baskets is 9 + 15 + 14 = 38 fruits.

Now, let's find the number of fruits in the fourth basket. Since it has 2 less of each fruit, there are 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas in the fourth basket. So, the total number of fruits in the fourth basket is 7 + 13 + 12 = 32 fruits.

Finally, let's find the total number of fruits in all four baskets. There are 38 fruits in the first three baskets and 32 fruits in the fourth basket, so the total number of fruits is 38 + 32 = 70 fruits. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",50,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: We can simplify the problem by identifying the cost of specific components of the bike",". We know that the frame cost $200, and the front wheel cost $50. The total cost of the bike is $300. We can subtract the cost of the frame and the front wheel from the total cost to find the cost of the rest of the bike. $300 - $200 - $50 = $50. The remaining $50 is split evenly between the seat and the handlebars, so each cost $25. The answer is 25.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. In total, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
First, let's find the total number of fruits in the first three baskets. There are 9 apples, 15 oranges, and 14 bananas, so the total number of fruits in the first three baskets is 9 + 15 + 14 = 38 fruits.

Now, let's find the number of fruits in the fourth basket. Since there are 2 less of each fruit in the fourth basket, there are 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas in the fourth basket. So, the total number of fruits in the fourth basket is 7 + 13 + 12 = 32 fruits.

Finally, let's find the total number of fruits in all four baskets. There are 38 fruits in the first three baskets and 32 fruits in the fourth basket, so the total number of fruits is 38 + 32 = 70 fruits. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",25,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: We can simplify the problem by identifying the cost of specific components of the bike",". The frame costs 1 / 2 * 100 = $50. The front wheel costs 1 / 5 * 100 = $20. The remaining cost is for the gears, which cost 100 - 50 - 20 = $30. The ratio of the cost of the gears to the cost of the frame is 30 / 50 = 0.6. The answer is 0.6.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. In total, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
First, let's find the total number of fruits in the first three baskets. There are 9 apples, 15 oranges, and 14 bananas, so the total number of fruits in the first three baskets is 9 + 15 + 14 = 38 fruits.

Now, let's find the number of fruits in the fourth basket. Since there are 2 less of each fruit in the fourth basket, there are 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas in the fourth basket. So, the total number of fruits in the fourth basket is 7 + 13 + 12 = 32 fruits.

Finally, let's find the total number of fruits in all four baskets. There are 38 fruits in the first three baskets and 32 fruits in the fourth basket, so the total number of fruits is 38 + 32 = 70 fruits. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",1,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: We can simplify the problem by identifying the cost of specific components of the bike",".  The cost of the frame is $100.  The cost of the front wheel is $50.  The cost of the front wheel is half the cost of the frame, so the cost of the front wheel is 1 / 2 * 100 = $50.  The cost of the back wheel is the same as the front wheel, so the cost of the back wheel is $50.  The cost of the handlebars is $20 more than the front wheel, so the cost of the handlebars is 50 + 20 = $70.  The cost of the seat is $10 less than the handlebars, so the cost of the seat is 70 - 10 = $60.  The cost of the bike is the sum of the cost of the frame, front wheel, back wheel, handlebars, and seat, so the cost of the bike is 100 + 50 + 50 + 70 + 60 = $330.  The answer is 330.",330,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: We can simplify the problem by identifying the cost of specific components of the bike",". The frame costs $100, the front wheel costs $20, and the handlebar costs $30. The total cost of these components is $100 + $20 + $30 = $150. The remaining cost of the bike is $200 - $150 = $50. The cost of the seat and the back wheel is $50 / 2 = $25. The answer is 25.

Q: A group of 5 children are taken to an amusement park. Only 3 of them were daring enough to get on the Ferris wheel which cost $5 per child. Everyone had a go at the merry-go-round (at $3 per child). On their way home, they bought 2 cones of ice cream each (each cone cost $8). How much did they spend altogether?

A: 3 children rode the Ferris wheel at $5 per child for a total of 3 * $5 = $15. 5 children rode the merry - go - round at $3 per child for a total of 5 * $3 = $15. 5 children bought 2 cones of ice cream each at $8 per cone for a total of 5 * 2 * $8 = $80. Altogether, they spent $15 + $15 + $80 = $110. The answer is 110.

Q: A group of 4 fruit baskets contains 9 apples, 15 oranges, and 14 bananas in the first three baskets and 2 less of each fruit in the fourth basket. How many fruits are there?

A:
First, let's find the total number of fruits in the first three baskets. There are 9 apples, 15 oranges, and 14 bananas, so the total number of fruits in the first three baskets is 9 + 15 + 14 = 38 fruits.

Now, let's find the number of fruits in the fourth basket. Since there are 2 less of each fruit in the fourth basket, there are 9 - 2 = 7 apples, 15 - 2 = 13 oranges, and 14 - 2 = 12 bananas in the fourth basket. So, the total number of fruits in the fourth basket is 7 + 13 + 12 = 32 fruits.

Finally, let's find the total number of fruits in all four baskets. There are 38 fruits in the first three baskets and 32 fruits in the fourth basket, so the total number of fruits is 38 + 32 = 70 fruits. The answer is 70.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",25,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: We can simplify the problem by identifying the cost of specific components of the bike",". The frame and the front wheel cost $150 + $30 = $180. The remaining cost is for the gears, the handlebars, and the seat, which is $240 - $180 = $60. The cost of the gears is $60 * 2 / 3 = $40. The cost of the handlebars is $60 - $40 = $20. The cost of the seat is $20 / 2 = $10. The total cost of the bike is $150 + $30 + $40 + $20 + $10 = $250. The answer is 250.
Explain how we arrive at this answer using the given Mark down data:

The owner of a Turkish restaurant ordered ground beef in four-pound packages from three different butchers. The first butcher delivered 10 packages, the second butcher delivered 7 packages, and the total weight of the ground beef delivered by all three butchers was 100 pounds. We need to find out how many packages the third butcher delivered.

First, we can calculate the total weight of the ground beef delivered by the first two butchers: 10 packages * 4 pounds/package + 7 packages * 4 pounds/package = 40 pounds + 28 pounds = 68 pounds.

Next, we can find the weight of the ground beef delivered by the third butcher: 100 pounds - 68 pounds = 32 pounds.

Finally, we can calculate the number of packages delivered by the third butcher: 32 pounds / 4 pounds/package = 8 packages.

So, the third butcher delivered 8 packages of ground beef. The answer is 8.

Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?
A: We can simplify the problem by identifying the cost of specific components of the bike. The frame and the front wheel cost $150 + $30 = $180. The remaining cost is for the gears, the handlebars, and the seat, which is $240 - $180 = $60. The cost of the gears is $60 * 2 / 3 = $40. The cost of the handlebars is $60 - $40 = $20. The cost of the seat is $20 / 2 = $10. The total cost of the bike is $150 + $30 + $40 + $20 + $10 = $250. The answer is 250.
Explain how we arrive at this answer using the given Mark down data:

The owner of a Turkish restaurant ordered ground beef in four-pound packages from three different butchers. The first butcher delivered 10 packages, the second butcher delivered 7 packages, and the total weight of the ground beef delivered by all three butchers was 100 pounds. We need to find out how many packages the third butcher delivered.

First, we can calculate the total weight of the ground beef delivered by the first two butchers: 10 packages * 4 pounds/package + 7 packages * 4 pounds/package = 40 pounds + 28 pounds = 68 pounds.

Next, we can find the weight of the ground beef delivered by the third butcher: 100 pounds - 68 pounds = 32 pounds.

Finally, we can calculate the number of packages delivered by the third butcher: 32 pounds / 4 pounds/package = 8 packages.

So, the third butcher delivered 8 packages of ground beef. The answer is 8.

Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?
A: We can simplify the problem by identifying the cost of specific components of the bike. The frame and the front wheel cost $150 + $30 = $180. The remaining cost is for the gears, the handlebars, and the seat, which is $240 - $180 = $60. The cost",8,8,1.0
