index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: You begin with> is not a valid starting sentence."," You can begin with ""Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?""","income?""",1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: You begin with> is not a valid starting sentence.",,,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: You begin with> is not a valid starting sentence.", You need to start with a question.,,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: You begin with> is not a valid starting sentence."," You need to start with a capital letter. You also need to use a comma after the word ""trick-or-treating"" and ""trick-or-tricking"". You also need to use a comma after the word ""per"" in the second sentence. You also need to use a comma after the word ""houses"" in the third sentence. You also need to use a comma after the word ""pieces"" in the fourth sentence. You also need to use a comma after the word ""houses"" in the fifth sentence. You also need to use a comma after the word ""pieces"" in the sixth sentence. You also need to use a comma after the word ""houses"" in the seventh sentence. You also need to use a comma after the word ""pieces"" in the eighth sentence. You also need to use a comma after the word ""houses"" in the ninth sentence. You also need to use a comma after the word ""pieces"" in the tenth sentence. You also need to use a comma after the word ""houses"" in the eleventh sentence. You also need to use a comma after the word ""pieces"" in the twelfth sentence. You also need to use a comma after the word ""houses"" in the thirteenth sentence. You also need to use a comma after the word ""pieces"" in the fourteenth sentence. You also need to use a comma after the word ""houses"" in the fifteenth sentence. You also need to use a comma after the word ""pieces"" in the sixteenth sentence. You also need to use a comma after the word ""houses"" in the seventeenth sentence. You also need to use a comma after the word ""pieces"" in the eighteenth sentence. You also need to use a comma after the word ""houses"" in the nineteenth sentence. You also need to use a comma after the word ""pieces"" in the twentieth sentence. You also need to use a comma after the word ""houses"" in the twenty-first sentence. You also need to use a comma after the word ""pieces"" in the twenty-second sentence. You also need to use a comma after the word ""houses"" in the twenty-third sentence. You also need to use a comma after the word ""pieces"" in the twenty-fourth sentence. You also need to use a comma after the word ""houses"" in the twenty-fifth sentence. You also need to use a comma after the word ""pieces"" in the twenty-sixth sentence. You also need to use a comma after the word ""houses"" in the twenty-seventh sentence. You also need to use a comma after the word ""pieces"" in the twenty-eighth sentence. You also need to use a comma after the word ""houses"" in the twenty-ninth sentence. You also need to use a comma after the word ""pieces"" in the thirtieth sentence. You also need to use a comma after the word ""houses"" in the thirty-first sentence. You also need to use a comma after the word ""pieces"" in the thirty-second sentence. You also need to use a comma after the word ""houses"" in the thirty-third sentence. You also need to use a comma after the word ""pieces"" in the thirty-fourth sentence. You also need to use a comma after the word ""houses"" in the thirty-fifth sentence. You also need to use a comma after the word ""pieces"" in the thirty-sixth sentence. You also need to use a comma after the word ""houses"" in the thirty-seventh sentence. You also need to use a comma after the word ""pieces"" in the thirty-eighth sentence. You also need to use a comma after the word ""houses"" in the thirty-ninth sentence. You also need to use a comma after the word ""pieces"" in the fortieth sentence. You also need to use a comma after the word ""houses"" in the forty-first sentence. You also need to use a comma after the word ""pieces"" in the forty-second sentence. You also need to use a comma after the word ""houses"" in the forty-third sentence. You also need to use a comma after the word ""pieces"" in the forty-fourth sentence. You also need to use a comma after the word ""houses"" in the forty-fifth sentence. You also need to use a comma after the word ""pieces"" in the forty-sixth sentence. You also need to use a comma after the word ""houses"" in the forty-seventh sentence. You also need to use a comma after the word ""pieces"" in the forty-eighth sentence. You also need to use a comma after the word ""houses"" in the forty-ninth sentence. You also need to use a comma after the word ""pieces"" in the fiftieth sentence. You also need to use a comma after the word ""houses"" in the fifty-first sentence. You also need to use a comma after the word ""pieces"" in the fifty-second sentence. You also need to use a comma after",10,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: You begin with> is not a valid starting sentence."," You can begin with ""You begin with"" or ""You start with"" or ""You have"" or ""You are given"" or ""You are told"" or ""You are provided with"" or ""You are asked to find"" or ""You are asked to determine"" or ""You are asked to calculate"" or ""You are asked to compute"" or ""You are asked to solve"" or ""You are asked to figure out"" or ""You are asked to work out"" or ""You are asked to work through"" or ""You are asked to work on"" or ""You are asked to work with"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards"" or ""You are asked to work towards""","towards""",99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: You begin with> is not a valid starting sentence.", You need to start with a question.,,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: You begin with> is not a valid starting sentence.", You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You can't begin a sentence with a preposition. You,preposition.,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: You begin with> is not a valid starting sentence.",  You need to start with a number.  You can't start with a variable.  You can't start with a function.  You can't start with a word.  You can't start with a symbol.  You can't start with a phrase.  You can't start with a sentence.  You can't start with a question.  You can't start with a statement.  You can't start with a command.  You can't start with a suggestion.  You can't start with a request.  You can't start with a demand.  You can't start with a wish.  You can't start with a hope.  You can't start with a dream.  You can't start with a fantasy.  You can't start with a nightmare.  You can't start with a hallucination.  You can't start with a delusion.  You can't start with a lie.  You can't start with a falsehood.  You can't start with a fabrication.  You can't start with a fiction.  You can't start with a myth.  You can't start with a legend.  You can't start with a rumor.  You can't start with a gossip.  You can't start with a story.  You can't start with a tale.  You can't start with a fable.  You can't start with a parable.  You can't start with a proverb.  You can't start with a maxim.  You can't start with a saying.  You can't start with a quotation.  You can't start with a citation.  You can't start with a reference.  You can't start with a footnote.  You can't start with a bibliography.  You can't start with a glossary.  You can't start with a dictionary.  You can't start with a thesaurus.  You can't start with a list.  You can't start with a table.  You can't start with a chart.  You can't start with a graph.  You can't start with a map.  You can't start with a picture.  You can't start with a drawing.  You can't start with a painting.  You can't start with a photograph.  You can't start with a sculpture.  You can't start with a sketch.  You can't start with a cartoon.  You can't start with a comic strip.  You can't start with a comic book.  You can't start with a comic movie.  You can't start with a comic TV show.  You can't start with a comic radio show.  You can't start with a comic podcast.  You can't start with a comic blog.  You can't start with a comic website.  You can't start with a comic app.  You can't start with a comic game.  You can't start with a comic book.  You can't start with a comic movie.  You can't start with a comic TV show.  You can't start with a comic radio show.  You can't start with a comic podcast.  You can't start with a comic blog.  You can't start with a comic website.  You can't start with a comic app.  You can't start with a comic game.  You can't start with a comic book.  You can't start with a comic movie.  You can't start with a comic TV show.  You can't start with a comic radio show.  You can't start with a comic podcast.  You can't start with a comic blog.  You can't start with a comic website.  You can't start with a comic app.  You can't start with a comic game.  You can't start with a comic book.  You can't start with a comic movie.  You can't start with a comic TV show.  You can't start with a comic radio show.  You can't start with a comic podcast.  You can't start with a comic blog.  You can't start with a comic website.  You can't start with a comic app.  You can't start with a comic game.  You can't start with a comic book.  You can't start with a comic movie.  You can't start with a comic TV show.  You can't start with a comic radio show.  You can't start with a comic podcast.  You can't start with a comic blog.  You can't start with a comic website.  You can't start with a comic app.  You can't start with a comic game.  You can't start with a comic book.  You can't start with a comic movie.  You can't start with a comic TV show.  You can't start with a comic radio show.  You can't start with a comic podcast.,can',45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: You begin with> is not a valid starting sentence."," You can begin with ""You have"" or ""You are given"" or ""You have been given"" or ""You have to"" or ""You have to find"" or ""You have to determine"" or ""You have to calculate"" or ""You have to solve"" or ""You have to find the value of"" or ""You have to find the value of x"" or ""You have to find the value of y"" or ""You have to find the value of z"" or ""You have to find the value of a"" or ""You have to find the value of b"" or ""You have to find the value of c"" or ""You have to find the value of d"" or ""You have to find the value of e"" or ""You have to find the value of f"" or ""You have to find the value of g"" or ""You have to find the value of h"" or ""You have to find the value of i"" or ""You have to find the value of j"" or ""You have to find the value of k"" or ""You have to find the value of l"" or ""You have to find the value of m"" or ""You have to find the value of n"" or ""You have to find the value of o"" or ""You have to find the value of p"" or ""You have to find the value of q"" or ""You have to find the value of r"" or ""You have to find the value of s"" or ""You have to find the value of t"" or ""You have to find the value of u"" or ""You have to find the value of v"" or ""You have to find the value of w"" or ""You have to find the value of x"" or ""You have to find the value of y"" or ""You have to find the value of z"" or ""You have to find the value of a"" or ""You have to find the value of b"" or ""You have to find the value of c"" or ""You have to find the value of d"" or ""You have to find the value of e"" or ""You have to find the value of f"" or ""You have to find the value of g"" or ""You have to find the value of h"" or ""You have to find the value of i"" or ""You have to find the value of j"" or ""You have to find the value of k"" or ""You have to find the value of l"" or ""You have to find the value of m"" or ""You have to find the value of n"" or ""You have to find the value of o"" or ""You have to find the value of p"" or ""You have to find the value of q"" or ""You have to find the value of r"" or ""You have to find the value of s"" or ""You have to find the value of t"" or ""You have to find the value of u"" or ""You have to find the value of v"" or ""You have to find the value of w"" or ""You have to find the value of x"" or ""You have to find the value of y"" or ""You have to find the value of z"" or ""You have to find the value of a"" or ""You have to find the value of b"" or ""You have to find the value of c"" or ""You have to find the value of d"" or ""You have to find the value of e"" or ""You have to find the value of f"" or ""You have to find the value of g"" or ""You have to find the value of h"" or ""You have to find the value of i"" or ""You have to find the value of j"" or ""You have to find the value of k"" or ""You have to find the value of l"" or ""You have to find the value of m"" or ""You have to find the value of n"" or ""You have to find the value of o"" or ""You have to find the value of p"" or ""You have to find the value of q"" or ""You have to find the value of r"" or ""You have to find the value of s"" or ""You have to find the value of t"" or ""You have to find the value of u"" or ""You have to find the value of v"" or ""You have to find the value of w"" or ""You have to find the value of x"" or ""You have to find the value of y"" or ""You have to find the value of z"" or ""You have to find the value of a"" or ""You have to find the value of b"" or ""You have to find the value of c"" or ""You have to find the value of d"" or ""You have to find the value of e"" or ""You have to find the value of f"" or ""","""",74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: You begin with> is not a valid starting sentence.", You need to start with a question.,,8,0.0
