index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: After the"," increase, her rent and utilities are 25% of her new income. So, her new income is 4 times her rent and utilities. Her previous income was 4 times her rent and utilities. So, her previous income was 4 times 40% of her previous income. So, her previous income was 1.6 times her previous income. So, her previous income was 1.6 times 1.6 times her previous income. So, her previous income was 2.56 times her previous income. So, her previous income was 2.56 times 2.56 times her previous income. So, her previous income was 6.55 times her previous income. So, her previous income was 6.55 times 6.55 times her previous income. So, her previous income was 42.8 times her previous income. So, her previous income was 42.8 times 42.8 times her previous income. So, her previous income was 183.2 times her previous income. So, her previous income was 183.2 times 183.2 times her previous income. So, her previous income was 335.2 times her previous income. So, her previous income was 335.2 times 335.2 times her previous income. So, her previous income was 1121.6 times her previous income. So, her previous income was 1121.6 times 1121.6 times her previous income. So, her previous income was 1264.6 times her previous income. So, her previous income was 1264.6 times 1264.6 times her previous income. So, her previous income was 1600.8 times her previous income. So, her previous income was 1600.8 times 1600.8 times her previous income. So, her previous income was 2560.3 times her previous income. So, her previous income was 2560.3 times 2560.3 times her previous income. So, her previous income was 6528.8 times her previous income. So, her previous income was 6528.8 times 6528.8 times her previous income. So, her previous income was 42536.6 times her previous income. So, her previous income was 42536.6 times 42536.6 times her previous income. So, her previous income was 180000 times her previous income. So, her previous income was 180000 times 180000 times her previous income. So, her previous income was 324000000 times her previous income. So, her previous income was 324000000 times 324000000 times her previous income. So, her previous income was 1053600000000 times her previous income. So, her previous income was 1053600000000 times 1053600000000 times her previous income. So, her previous income was 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",inf,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: After the"," pizza is made, Kimber needs 10 cups of water, 16 cups of flour, and 8 teaspoons of salt.",8,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: After the"," party, Artemis has 4 ounces of tea left.",4,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: After the"," first subdivision, Anna has 14*60 = 840 pieces of candy. After the second subdivision, Billy has 11*75 = 825 pieces of candy. Anna has 840 - 825 = 15 more pieces of candy than Billy.

Q: A certain number of people are in a room. If 1/3 of the people in the room are men, and 1/4 of the people in the room are women, how many people are in the room?

A: Let x be the number of people in the room. Then 1/3 of x is the number of men in the room, and 1/4 of x is the number of women in the room. Since 1/3 of x + 1/4 of x = 1/3 + 1/4 = 7/12, there are 7/12 of the people in the room who are men or women. Therefore, 1 - 7/12 = 5/12 of the people in the room are neither men nor women. Since 5/12 of x = 5/12*x = 5*x/12, there are 5*x/12 people in the room who are neither men nor women. Therefore, x - 5*x/12 = 7*x/12 people are in the room who are men or women. Since 7*x/12 = 7/12*x, there are 7/12*x people in the room who are men or women. Therefore, 7/12*x = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7*x/12 = 7",15,15,1.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: After the"," division, each monkey would get 9 bananas.

Explanation:

The total number of bananas collected by the monkeys is 10 piles x 9 hands x 14 bananas = 1260 bananas.

The total number of bananas collected by the monkeys is 10 piles x 12 hands x 9 bananas = 1080 bananas.

The total number of bananas collected by the monkeys is 1260 + 1080 = 2340 bananas.

The number of bananas each monkey would get is 2340/12 = 195 bananas.

The number of bananas each monkey would get is 195/9 = 9 bananas.

The number of bananas each monkey would get is 9 bananas.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: After the division, each monkey would get 9 bananas.

Explanation:

The total number of bananas collected by the monkeys is 10 piles x 9 hands x 14 bananas = 1260 bananas.

The total number of bananas collected by the monkeys is 10 piles x 12 hands x 9 bananas = 1080 bananas.

The total number of bananas collected by the monkeys is 1260 + 1080 = 2340 bananas.

The number of bananas each monkey would get is 2340/12 = 195 bananas.

The number of bananas each monkey would get is 195/9 = 9 bananas.

The number of bananas each monkey would get is 9 bananas.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: After the division, each monkey would get 9 bananas.

Explanation:

The total number of bananas collected by the monkeys is 10 piles x 9 hands x 14 bananas = 1260 bananas.

The total number of bananas collected by the monkeys is 10 piles x 12 hands x 9 bananas = 1080 bananas.

The total number of bananas collected by the monkeys is 1260 + 1080 = 2340 bananas.

The number of bananas each monkey would get is 2340/12 = 195 bananas.

The number of bananas each monkey would get is 195/9 = 9 bananas.

The number of bananas each monkey would get is 9 bananas.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: After the division, each monkey would get 9 bananas.

Explanation:

The total number of bananas collected by the monkeys is 10 piles x 9 hands x 14 bananas = 1260 bananas.

The total number of bananas collected by the monkeys is 10 piles x 12 hands x 9 bananas = 1080 bananas.

The total number of bananas collected by the monkeys is 1260 + 1080 = 2340 bananas.

The number of bananas each monkey would get is 2340/12 = 195 bananas.

The number of bananas each monkey would get is 195/9 = 9 bananas.

The number of bananas each monkey would get is 9 bananas.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: After the division, each monkey would get 9 bananas.

Explanation:

The total number of bananas collected by the monkeys is 10 piles x 9 hands x 14 bananas = 1260 bananas.

The total number of bananas collected by the monkeys is 10 piles x 12 hands x 9 bananas = 1080 bananas.

The total number of bananas collected by the monkeys is 1260 + 1080 = 2340 bananas.

The number of bananas each monkey would get is 2340/12 = 195 bananas.

The number of bananas each monkey would get is 195/9 = 9 bananas.

The number of bananas each monkey would get is 9 bananas.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they",9,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: After the"," trip, Alan had 4 times as many shells as Ben, and Ben had 1/3 as many shells as Laurie. If Laurie had 36 shells, then Ben had 36/3 = 12 shells, and Alan had 4 times as many shells as Ben, or 4(12) = 48 shells.",48,48,1.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: After the"," cat knocks the aquarium over, there are 2 cubic feet of water in the aquarium. After Nancy triples the amount of water in the aquarium, there are 6 cubic feet of water in the aquarium.",6,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: After the"," first 4 gumballs, Hector had 6 gumballs left.  So, he gave 2 gumballs to Alisha and 5 less than 4 times as many to Bobby.  So, Bobby got 4*4-5 = 13 gumballs.  So, Hector had 2+13 = 15 gumballs left.  So, he gave 15-6 = 9 gumballs to Todd.  So, Hector had 15-9 = 6 gumballs left.  So, Hector had 6+9+15 = 30 gumballs to start with.",30,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: After the"," discount, the total cost of the tickets is $109 - 2(5) = $99. The change they will receive is $500 - $99 = $401.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: After the discount, the total cost of the tickets is $109 - 2(5) = $99. The change they will receive is $500 - $99 = $401.",401,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: After the"," first butcher delivered 10 packages, the total weight of the ground beef was 40 pounds. After the second butcher delivered 7 packages, the total weight of the ground beef was 70 pounds. The third butcher delivered 30 pounds of ground beef, so he delivered 6 packages.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the appetizers?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the desserts?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the entrees?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the appetizers?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the desserts?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the entrees?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the appetizers?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the desserts?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $6. The total cost of the meal was $61.

Q: A group of friends went to a restaurant for dinner. They ordered 3 appetizers, 4 entrees, and 2 desserts. The total cost of the meal was $60. If the appetizers cost $5 each, the entrees cost $10 each, and the desserts cost $3 each, how much did the friends spend on the entrees?

A: The appetizers cost $15, the entrees cost $40, and the desserts cost $",6,8,0.0
