index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Present the solution within a distinct format, using mathematical operations to calculate the final answer step-by-step, ensuring each step is thoroughly justified with the corresponding result, and presented in a clear and easily understandable sequence. Include only necessary units and any boxed final answer in the exact format: ______________________.
Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?"," Let x be the previous monthly income.
## Step 1: Express the previous monthly income as a variable.
Let x be the previous monthly income.

## Step 2: Calculate the amount spent on rent and utilities before the salary increase.
40% of x is spent on rent and utilities before the salary increase, which is 0.4x.

## Step 3: Calculate the new monthly income after the salary increase.
The new monthly income is x + 600.

## Step 4: Calculate the amount spent on rent and utilities after the salary increase.
25% of the new monthly income is spent on rent and utilities, which is 0.25(x + 600).

## Step 5: Set up an equation based on the information given.
Since the amount spent on rent and utilities remains the same, we can set up the equation 0.4x = 0.25(x + 600).

## Step 6: Solve the equation for x.
Distribute 0.25 to x and 600: 0.4x = 0.25x + 150.
Subtract 0.25x from both sides: 0.15x = 150.
Divide both sides by 0.15: x = 1000.

The final answer is: $1000. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. __________________",1000,1000,1.0
33,"Present the solution within a distinct format, using mathematical operations to calculate the final answer step-by-step, ensuring each step is thoroughly justified with the corresponding result, and presented in a clear and easily understandable sequence. Include only necessary units and any boxed final answer in the exact format: ______________________.
To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza."," 
## Step 1: Calculate the amount of salt needed
First, we need to calculate the amount of salt needed, which is 1/2 times as many teaspoons of salt as the number of cups of flour. Since Kimber needs 16 cups of flour, the amount of salt needed is 1/2 * 16 = 8 teaspoons.

## Step 2: Calculate the combined total of water, flour, and salt
Now, we need to calculate the combined total of water, flour, and salt. The amount of water needed is 10 cups, the amount of flour needed is 16 cups, and the amount of salt needed is 8 teaspoons. To find the combined total, we add these amounts together: 10 + 16 + 8 = 34.

## Step 3: Convert the combined total to a single unit
Since the combined total is in cups and teaspoons, we need to convert the teaspoons to cups. There are 6 teaspoons in 1 cup, so we divide the amount of salt (8 teaspoons) by 6 to get the amount in cups: 8 / 6 = 1.33 cups. Now, we add this amount to the total: 34 + 1.33 = 35.33.

## Step 4: Round the combined total to the nearest whole number
Since we can't have a fraction of a cup, we round the combined total to the nearest whole number. Rounding 35.33 to the nearest whole number gives us 35.

The final answer is: $\boxed{35}$ ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________",35,34,0.0
38,"Present the solution within a distinct format, using mathematical operations to calculate the final answer step-by-step, ensuring each step is thoroughly justified with the corresponding result, and presented in a clear and easily understandable sequence. Include only necessary units and any boxed final answer in the exact format: ______________________.
Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?"," 
## Step 1: Calculate the amount of tea needed per person
To find out how much tea Artemis needs for each person, we first need to determine the ratio of tea to the amount of tea each person will drink. Since her mom uses 1 ounce of tea for an 8-ounce cup, we can set up a ratio of 1 ounce of tea to 8 ounces of water.

## Step 2: Determine the amount of tea needed for 12 people
Since each person wants a 6-ounce cup of tea, we need to find out how much tea is needed for 12 people. We can set up a proportion to find the amount of tea needed: 1 ounce of tea / 8 ounces of water = x ounces of tea / 6 ounces of water.

## Step 3: Solve the proportion for x
To solve the proportion, we can cross-multiply: 1 * 6 = 8 * x, which simplifies to 6 = 8x.

## Step 4: Calculate the value of x
Now we can solve for x by dividing both sides of the equation by 8: x = 6 / 8 = 0.75.

## Step 5: Calculate the total amount of tea needed
Since x represents the amount of tea needed for one 6-ounce cup, we can multiply x by 12 to find the total amount of tea needed for 12 people: 0.75 * 12 = 9.

The final answer is: $\boxed{9}$ ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________.",9,9,1.0
39,"Present the solution within a distinct format, using mathematical operations to calculate the final answer step-by-step, ensuring each step is thoroughly justified with the corresponding result, and presented in a clear and easily understandable sequence. Include only necessary units and any boxed final answer in the exact format: ______________________.
Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?"," 
## Step 1: Calculate the total number of pieces of candy Anna gets.
To find the total number of pieces of candy Anna gets, we multiply the number of pieces of candy she gets per house by the total number of houses in the subdivision she visits. total_candy_Anna = 14 * 60 = 840.

## Step 2: Calculate the total number of pieces of candy Billy gets.
To find the total number of pieces of candy Billy gets, we multiply the number of pieces of candy he gets per house by the total number of houses in the subdivision he visits. total_candy_Billy = 11 * 75 = 825.

## Step 3: Calculate the difference in the number of pieces of candy Anna and Billy get.
To find out how many more pieces of candy Anna gets than Billy, we subtract the total number of pieces of candy Billy gets from the total number of pieces of candy Anna gets. difference = total_candy_Anna - total_candy_Billy = 840 - 825 = 15.

The final answer is: $\boxed{15}$ ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________",15,15,1.0
42,"Present the solution within a distinct format, using mathematical operations to calculate the final answer step-by-step, ensuring each step is thoroughly justified with the corresponding result, and presented in a clear and easily understandable sequence. Include only necessary units and any boxed final answer in the exact format: ______________________.
A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?"," 
## Step 1: Calculate the total number of bananas in the 6 piles with 9 hands.
First, we need to calculate the total number of bananas in the 6 piles with 9 hands. Since each hand has 14 bananas, we multiply the number of hands by the number of bananas per hand and then by the number of piles. total_bananas_6_piles = 9 * 14 * 6 = 756.

## Step 2: Calculate the total number of bananas in the remaining 4 piles with 12 hands.
Next, we calculate the total number of bananas in the remaining 4 piles with 12 hands. Since each hand has 9 bananas, we multiply the number of hands by the number of bananas per hand and then by the number of piles. total_bananas_4_piles = 12 * 9 * 4 = 432.

## Step 3: Calculate the total number of bananas collected by the monkeys.
To find the total number of bananas collected, we add the bananas from the 6 piles and the 4 piles. total_bananas = total_bananas_6_piles + total_bananas_4_piles = 756 + 432 = 1188.

## Step 4: Calculate the number of bananas each monkey would get if they divide the bananas equally amongst themselves.
To find out how many bananas each monkey would get, we divide the total number of bananas by the number of monkeys. bananas_per_monkey = total_bananas / 12 = 1188 / 12 = 99.

The final answer is: $\boxed{99}$ ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________",99,99,1.0
49,"Present the solution within a distinct format, using mathematical operations to calculate the final answer step-by-step, ensuring each step is thoroughly justified with the corresponding result, and presented in a clear and easily understandable sequence. Include only necessary units and any boxed final answer in the exact format: ______________________.
On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?"," 
## Step 1: Determine the number of shells Ben collected.
Since Ben collected a third of what Laurie did, and Laurie collected 36 shells, we can calculate Ben's collection by dividing Laurie's collection by 3. Ben's collection = 36 / 3 = 12 shells.

## Step 2: Calculate the number of shells Alan collected.
Alan collected four times as many shells as Ben did. We can find Alan's collection by multiplying Ben's collection by 4. Alan's collection = 12 * 4 = 48 shells.

The final answer is: $\boxed{48}$ ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. ______________________. __________________",48,48,1.0
