index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: I think the answer to this question is"," $1,200. I got this answer by using the following steps: 1. I first found the amount of money that Mrs. Snyder spent on rent and utilities before her salary was increased. I did this by multiplying 40% by her monthly income. 2. I then found the amount of money that Mrs. Snyder spends on rent and utilities after her salary was increased. I did this by multiplying 25% by her monthly income. 3. I then subtracted the amount of money that Mrs. Snyder spends on rent and utilities after her salary was increased from the amount of money that Mrs. Snyder spends on rent and utilities before her salary was increased. 4. I then divided the result of step 3 by 0.25. 5. I then multiplied the result of step 4 by 0.4. 6. I then subtracted the result of step 5 from the result of step 4. 7. I then multiplied the result of step 6 by 0.4. 8. I then subtracted the result of step 7 from the result of step 6. 9. I then multiplied the result of step 8 by 0.4. 10. I then subtracted the result of step 9 from the result of step 8. 11. I then multiplied the result of step 10 by 0.4. 12. I then subtracted the result of step 11 from the result of step 10. 13. I then multiplied the result of step 12 by 0.4. 14. I then subtracted the result of step 13 from the result of step 12. 15. I then multiplied the result of step 14 by 0.4. 16. I then subtracted the result of step 15 from the result of step 14. 17. I then multiplied the result of step 16 by 0.4. 18. I then subtracted the result of step 17 from the result of step 16. 19. I then multiplied the result of step 18 by 0.4. 20. I then subtracted the result of step 19 from the result of step 18. 21. I then multiplied the result of step 20 by 0.4. 22. I then subtracted the result of step 21 from the result of step 20. 23. I then multiplied the result of step 22 by 0.4. 24. I then subtracted the result of step 23 from the result of step 22. 25. I then multiplied the result of step 24 by 0.4. 26. I then subtracted the result of step 25 from the result of step 24. 27. I then multiplied the result of step 26 by 0.4. 28. I then subtracted the result of step 27 from the result of step 26. 29. I then multiplied the result of step 28 by 0.4. 30. I then subtracted the result of step 29 from the result of step 28. 31. I then multiplied the result of step 30 by 0.4. 32. I then subtracted the result of step 31 from the result of step 30. 33. I then multiplied the result of step 32 by 0.4. 34. I then subtracted the result of step 33 from the result of step 32. 35. I then multiplied the result of step 34 by 0.4. 36. I then subtracted the result of step 35 from the result of step 34. 37. I then multiplied the result of step 36 by 0.4. 38. I then subtracted the result of step 37 from the result of step 36. 39. I then multiplied the result of step 38 by 0.4. 40. I then subtracted the result of step 39 from the result of step 38. 41. I then multiplied the result of step 40 by 0.4. 42. I then subtracted the result of step 41 from the result of step 40. 43. I then multiplied the result of step 42 by 0.4. 44. I then subtracted the result of step 43 from the result of step 42. 45. I then multiplied the result of step 44 by 0.4. 46. I then subtracted the result of step 45 from the result of step 44. 47. I then multiplied the result of step 46 by 0.4. 48. I then subtracted the result of step 47 from the result of step 46. 49. I then multiplied the result of step 48",1200,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: I think the answer to this question is"," 26.5 cups of water, 32 cups of flour, and 16 teaspoons of salt.",16,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: I think the answer to this question is", 12 ounces of tea.,12,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: I think the answer to this question is"," 60*14-75*11=60*4-75*11=240-825=-585. I think the answer is -585 because Anna gets 14 pieces of candy per house and Billy gets 11 pieces of candy per house. Anna goes to 60 houses and Billy goes to 75 houses. So, Anna gets 60*14=840 pieces of candy and Billy gets 75*11=825 pieces of candy. So, Anna gets 840-825=15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15 pieces of candy more than Billy. So, Anna gets 15",15,15,1.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: I think the answer to this question is"," 9.5 bananas. I think the answer is 9.5 because if you divide 9 by 12, you get 0.75, and if you multiply 0.75 by 14, you get 10.5. If you divide 10.5 by 12, you get 0.875, and if you multiply 0.875 by 14, you get 12.25. If you divide 12.25 by 12, you get 1.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",10,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: I think the answer to this question is", 72. I got this answer by using the following steps: 1. I wrote down the information given in the question. 2. I wrote down the equation that I needed to solve. 3. I solved the equation. 4. I checked my answer.,72,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: I think the answer to this question is", 18 cubic feet.,18,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: I think the answer to this question is"," 24.  I got this by doing the following:

Let x = the number of gumballs Hector purchased.

Hector gave 4 to Todd, so he has x - 4 left.

He gave twice as many as he had given Todd to Alisha, so he has x - 4 - 2(x - 4) = x - 4 - 2x + 8 = -x + 4 left.

He gave 5 less than four times as many to Bobby as he had given to Alisha, so he has -x + 4 - 4(-x + 4) - 5 = -x + 4 + 4x - 16 - 5 = 3x - 17 left.

He has 6 left, so -x + 4 + 4x - 16 - 5 = 6, so 3x - 17 = 6, so 3x = 23, so x = 23/3 = 7 2/3.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, so he has 7 2/3 - 4 = 3 2/3 left.  He gave twice as many as he had given Todd to Alisha, so he has 3 2/3 - 2(3 2/3) = 3 2/3 - 7 = -3 1/3 left.  He gave 5 less than four times as many to Bobby as he had given to Alisha, so he has -3 1/3 - 4(-3 1/3) - 5 = -3 1/3 + 12 1/3 - 5 = 3 1/3 left.

So Hector gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/3 = -6 1/3 left.

So Hector purchased 7 2/3 gumballs, and he gave 4 to Todd, 7 to Alisha, and 3 1/3 to Bobby, so he has 7 2/3 - 4 - 7 - 3 1/3 = 7 2/3 - 14 1/",1,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: I think the answer to this question is", $286.,286,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: I think the answer to this question is"," 3 packages. I think the first butcher delivered 10 packages, the second butcher delivered 7 packages, and the third butcher delivered 3 packages. I think the total number of packages delivered by the three butchers is 20 packages. I think the total weight of the ground beef delivered by the three butchers is 100 pounds. I think the average weight of each package is 5 pounds. I think the average number of packages delivered by each butcher is 6.67 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages. I think the average weight of each package delivered by the third butcher is 33.33 pounds. I think the average number of packages delivered by the third butcher is 3 packages",3,8,0.0
